source,provenance,bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,owner,doc_id,source_url,natural_key_hash
senate,openset,P000595,Gary C Peters,senate,Democrat,,"['SSAP01', 'SSAP14', 'SSAP16', 'SSAP19', 'SSAP22', 'SSAS14', 'SSAS20', 'SSAS21', 'SSCM34', 'SSCM36', 'SSCM37', 'SSCM38', 'SSGA01', 'SSGA20', 'SSGA22', 'Senate Committee on Appropriations', 'Senate Committee on Armed Services', 'Senate Committee on Commerce, Science, and Transportation', 'Senate Committee on Homeland Security and Governmental Affairs']",True,2021-01-15,2021-02-02,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=AEP"" TARGET=""_BLANK"">AEP</A>","American Electric Power Company, Inc.",Stock,Purchase,"$1,001 - $15,000",8000.5,Self,,https://efdsearch.senate.gov/search/view/ptr/cf66f482-baa0-409c-abdd-b9cfcbb5fd4e/,13b216015630c5ae2b753a5963e99169a7d2988abb90e918f7c9231255a45007
senate,openset,C000174,Thomas R Carper,senate,Democrat,,[],False,2021-01-29,2021-02-01,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=XCAPX"" TARGET=""_BLANK"">XCAPX</A>",ACAP Strategic Fund,Other Securities,Purchase,"$15,001 - $50,000",32500.5,Spouse,,https://efdsearch.senate.gov/search/view/ptr/ae5e8414-35c1-44f7-9549-700e9453a96a/,084f728b161fc87fc599d38f4fb19958c9895e0360f94415f015bdaa0a03fce0
senate,openset,C000174,Thomas R Carper,senate,Democrat,,[],False,2021-01-27,2021-02-01,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=DD"" TARGET=""_BLANK"">DD</A>","DuPont de Nemours, Inc.",Stock,Sale (Partial),"$15,001 - $50,000",32500.5,Spouse,,https://efdsearch.senate.gov/search/view/ptr/ae5e8414-35c1-44f7-9549-700e9453a96a/,85b2be01063012914568867a9be80b878f899e61706506d67d2a6fb2a07f0993
senate,openset,C000174,Thomas R Carper,senate,Democrat,,[],False,2021-01-26,2021-02-01,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=PBA"" TARGET=""_BLANK"">PBA</A>",Pembina Pipeline Corporation,Stock,Sale (Full),"$1,001 - $15,000",8000.5,Spouse,,https://efdsearch.senate.gov/search/view/ptr/ae5e8414-35c1-44f7-9549-700e9453a96a/,3d9a4f9d0cbc148f47f96d3349ba84932d8b7245d0364bf73d50c648b6ad5e0c
senate,openset,C000174,Thomas R Carper,senate,Democrat,,[],False,2021-01-26,2021-02-01,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=AQN"" TARGET=""_BLANK"">AQN</A>",Algonquin Power &amp; Utilities Corp.,Stock,Purchase,"$1,001 - $15,000",8000.5,Spouse,,https://efdsearch.senate.gov/search/view/ptr/ae5e8414-35c1-44f7-9549-700e9453a96a/,16d492cc5c7b5a6b8fc66c35df94680bd35ac3473b20526784140a8903823043
senate,openset,C000174,Thomas R Carper,senate,Democrat,,[],False,2021-01-25,2021-02-01,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=VIAV"" TARGET=""_BLANK"">VIAV</A>",Viavi Solutions Inc.,Stock,Sale (Full),"$1,001 - $15,000",8000.5,Spouse,,https://efdsearch.senate.gov/search/view/ptr/ae5e8414-35c1-44f7-9549-700e9453a96a/,d7f7d70ea9dcc5579e304e3982da717eb6bfa4b9994139fe6847141857d5a082
senate,openset,C000174,Thomas R Carper,senate,Democrat,,[],False,2021-01-25,2021-02-01,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=EVOP"" TARGET=""_BLANK"">EVOP</A>","EVO Payments, Inc.",Stock,Sale (Full),"$1,001 - $15,000",8000.5,Spouse,,https://efdsearch.senate.gov/search/view/ptr/ae5e8414-35c1-44f7-9549-700e9453a96a/,6c2b7473977483fc038c3e1cf6637c52789e1461168eeb712924d1130164ce25
senate,openset,C000174,Thomas R Carper,senate,Democrat,,[],False,2021-01-13,2021-02-01,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=RODM"" TARGET=""_BLANK"">RODM</A>",Hartford Multifactor Developed Markets (ex-US) ETF,Other Securities,Sale (Full),"$1,001 - $15,000",8000.5,Spouse,,https://efdsearch.senate.gov/search/view/ptr/ae5e8414-35c1-44f7-9549-700e9453a96a/,d1ff74ac8bad678d770991a91dc0d45edc25aaaaa29cfcf980a625290d2677ad
senate,openset,C000174,Thomas R Carper,senate,Democrat,,[],False,2021-01-13,2021-02-01,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=FCPIX"" TARGET=""_BLANK"">FCPIX</A>",Fidelity Advisor International Capital Appreciatio,Other Securities,Purchase,"$1,001 - $15,000",8000.5,Spouse,,https://efdsearch.senate.gov/search/view/ptr/ae5e8414-35c1-44f7-9549-700e9453a96a/,7558d747ede3fcfa78c96e57dedd53bebc64962621bc2cfd14ba560b766b934e
senate,openset,C000174,Thomas R Carper,senate,Democrat,,[],False,2021-01-11,2021-02-01,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=FEYE"" TARGET=""_BLANK"">FEYE</A>","FireEye, Inc.",Stock,Sale (Full),"$1,001 - $15,000",8000.5,Spouse,,https://efdsearch.senate.gov/search/view/ptr/ae5e8414-35c1-44f7-9549-700e9453a96a/,d7b1cd303a4d1e824b37a3d6f9caf71b14fbc1b26d76728ab00a51a75389ec5a
