congress,bioguide_id,committee_membership
113,B001271,"House Committee on Agriculture; House Committee on Agriculture — Conservation, Energy, and Forestry; House Committee on Agriculture — General Farm Commodities and Risk Management; House Committee on Natural Resources; House Committee on Natural Resources — Energy and Mineral Resources; House Committee on Natural Resources — Indian and Alaska Native Affairs; House Committee on Veterans' Affairs; House Committee on Veterans' Affairs — Health; House Committee on Veterans' Affairs — Oversight and Investigations"
113,B001273,House Committee on Ways and Means; House Committee on Ways and Means — Oversight; House Committee on the Budget
113,B001274,"House Committee on Armed Services; House Committee on Armed Services — Oversight and Investigations; House Committee on Armed Services — Strategic Forces; House Committee on Foreign Affairs; House Committee on Foreign Affairs — Asia and the Pacific; House Committee on Foreign Affairs — Terrorism, Nonproliferation, and Trade; House Committee on Science, Space, and Technology; House Committee on Science, Space, and Technology — Research and Technology; House Committee on Science, Space, and Technology — Space"
113,B001275,"House Committee on Education and the Workforce; House Committee on Education and the Workforce — Health, Employment, Labor, and Pensions; House Committee on Education and the Workforce — Workforce Protections; House Committee on Science, Space, and Technology; House Committee on Science, Space, and Technology — Research and Technology; House Committee on Science, Space, and Technology — Space; House Committee on Transportation and Infrastructure; House Committee on Transportation and Infrastructure — Aviation; House Committee on Transportation and Infrastructure — Highways and Transit; House Committee on Transportation and Infrastructure — Railroads, Pipelines, and Hazardous Materials"
113,B001277,"Commission on Security and Cooperation in Europe; Senate Committee on Armed Services; Senate Committee on Armed Services — Airland; Senate Committee on Armed Services — Personnel; Senate Committee on Armed Services — SeaPower; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Commerce, Science, and Transportation — Communications, Technology, and the Internet; Senate Committee on Commerce, Science, and Transportation — Consumer Protection, Product Safety, and Insurance; Senate Committee on Commerce, Science, and Transportation — Oceans, Atmosphere, Fisheries, and Coast Guard; Senate Committee on Commerce, Science, and Transportation — Science and Space; Senate Committee on Commerce, Science, and Transportation — Surface Transportation and Merchant Marine Infrastructure, Safety, and Security; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; Senate Committee on the Judiciary — Antitrust, Competition Policy and Consumer Rights; Senate Committee on the Judiciary — Immigration, Refugees and Border Security; Senate Committee on the Judiciary — Oversight, Federal Rights and Agency Action; Senate Committee on the Judiciary — the Constitution, Civil Rights and Human Rights; Senate Special Committee on Aging"
113,B001278,"House Committee on Education and the Workforce; House Committee on Education and the Workforce — Health, Employment, Labor, and Pensions; House Committee on Education and the Workforce — Higher Education and Workforce Training; House Committee on Science, Space, and Technology; House Committee on Science, Space, and Technology — Environment; House Committee on Science, Space, and Technology — Space"
113,B001279,"House Committee on Armed Services; House Committee on Armed Services — Readiness; House Committee on Armed Services — Tactical Air and Land Forces; House Committee on Homeland Security; House Committee on Homeland Security — Oversight and Management Efficiency; House Committee on Small Business; House Committee on Small Business — Agriculture, Energy and Trade; House Committee on Small Business — Economic Growth, Tax and Capital Access"
113,B001280,"House Committee on Oversight and Government Reform; House Committee on Oversight and Government Reform — Economic Growth, Job Creation, and Regulatory Affairs; House Committee on Oversight and Government Reform — National Security; House Committee on Small Business; House Committee on Small Business — Contracting and Workforce; House Committee on Small Business — Investigations, Oversight and Regulations"
113,B001281,House Committee on Financial Services; House Committee on Financial Services — Housing and Insurance; House Committee on Financial Services — Oversight and Investigations
113,B001282,House Committee on Financial Services; House Committee on Financial Services — Financial Institutions and Consumer Credit; House Committee on Financial Services — Oversight and Investigations
113,B001283,"House Committee on Armed Services; House Committee on Armed Services — Oversight and Investigations; House Committee on Armed Services — Strategic Forces; House Committee on Armed Services — Tactical Air and Land Forces; House Committee on Science, Space, and Technology; House Committee on Science, Space, and Technology — Environment; House Committee on Science, Space, and Technology — Research and Technology; House Committee on Science, Space, and Technology — Space"
113,B001284,"House Committee on Education and the Workforce; House Committee on Education and the Workforce — Early Childhood, Elementary, and Secondary Education; House Committee on Education and the Workforce — Health, Employment, Labor, and Pensions; House Committee on Education and the Workforce — Higher Education and Workforce Training; House Committee on Ethics; House Committee on Homeland Security; House Committee on Homeland Security — Emergency Preparedness, Response and Communications; House Committee on Homeland Security — Transportation Security"
113,B001285,"House Committee on Science, Space, and Technology; House Committee on Science, Space, and Technology — Environment; House Committee on Science, Space, and Technology — Space; House Committee on Veterans' Affairs; House Committee on Veterans' Affairs — Economic Opportunity; House Committee on Veterans' Affairs — Health"
113,B001286,"House Committee on Agriculture; House Committee on Agriculture — General Farm Commodities and Risk Management; House Committee on Agriculture — Livestock, Rural Development, and Credit; House Committee on Transportation and Infrastructure; House Committee on Transportation and Infrastructure — Aviation; House Committee on Transportation and Infrastructure — Highways and Transit"
113,B001287,"House Committee on Foreign Affairs; House Committee on Foreign Affairs — Africa, Global Health, Global Human Rights, and International Organizations; House Committee on Foreign Affairs — Asia and the Pacific; House Committee on Science, Space, and Technology; House Committee on Science, Space, and Technology — Research and Technology; House Committee on Science, Space, and Technology — Space"
113,B001288,"Senate Committee on Commerce, Science, and Transportation; Senate Committee on Commerce, Science, and Transportation — Aviation Operations, Safety, and Security; Senate Committee on Commerce, Science, and Transportation — Communications, Technology, and the Internet; Senate Committee on Commerce, Science, and Transportation — Consumer Protection, Product Safety, and Insurance; Senate Committee on Commerce, Science, and Transportation — Oceans, Atmosphere, Fisheries, and Coast Guard; Senate Committee on Commerce, Science, and Transportation — Surface Transportation and Merchant Marine Infrastructure, Safety, and Security; Senate Committee on Environment and Public Works; Senate Committee on Environment and Public Works — Oversight; Senate Committee on Environment and Public Works — Superfund, Toxics and Environmental Health; Senate Committee on Environment and Public Works — Transportation and Infrastructure; Senate Committee on Environment and Public Works — Water and Wildlife; Senate Committee on Small Business and Entrepreneurship"
113,B001289,"House Committee on Armed Services; House Committee on Armed Services — Seapower and Projection Forces; House Committee on Armed Services — Tactical Air and Land Forces; House Committee on Natural Resources; House Committee on Natural Resources — Fisheries, Wildlife, Oceans and Insular Affairs; House Committee on Natural Resources — Water and Power"
113,C000059,"House Committee on Appropriations; House Committee on Appropriations — Defense; House Committee on Appropriations — Energy and Water Development, and Related Agencies; House Committee on Appropriations — Interior, Environment, and Related Agencies; House Committee on the Budget"
113,C000071,House Committee on Ways and Means; Joint Committee on Taxation
113,C000127,"Senate Committee on Commerce, Science, and Transportation; Senate Committee on Commerce, Science, and Transportation — Aviation Operations, Safety, and Security; Senate Committee on Commerce, Science, and Transportation — Communications, Technology, and the Internet; Senate Committee on Commerce, Science, and Transportation — Oceans, Atmosphere, Fisheries, and Coast Guard; Senate Committee on Commerce, Science, and Transportation — Surface Transportation and Merchant Marine Infrastructure, Safety, and Security; Senate Committee on Energy and Natural Resources; Senate Committee on Energy and Natural Resources — Energy; Senate Committee on Energy and Natural Resources — Public Lands, Forests, and Mining; Senate Committee on Energy and Natural Resources — Water and Power; Senate Committee on Finance; Senate Committee on Finance — Energy, Natural Resources, and Infrastructure; Senate Committee on Finance — Health Care; Senate Committee on Finance — International Trade, Customs, and Global Competitiveness; Senate Committee on Indian Affairs; Senate Committee on Small Business and Entrepreneurship"
113,C000141,"Commission on Security and Cooperation in Europe; Senate Committee on Environment and Public Works; Senate Committee on Environment and Public Works — Clean Air and Nuclear Safety; Senate Committee on Environment and Public Works — Transportation and Infrastructure; Senate Committee on Environment and Public Works — Water and Wildlife; Senate Committee on Finance; Senate Committee on Finance — Health Care; Senate Committee on Finance — Social Security, Pensions, and Family Policy; Senate Committee on Finance — Taxation and IRS Oversight; Senate Committee on Foreign Relations; Senate Committee on Foreign Relations — African Affairs; Senate Committee on Foreign Relations — East Asian and Pacific Affairs; Senate Committee on Foreign Relations — European Affairs; Senate Committee on Foreign Relations — Near Eastern and South and Central Asian Affairs; Senate Committee on Small Business and Entrepreneurship"
113,C000174,"Senate Committee on Environment and Public Works; Senate Committee on Environment and Public Works — Clean Air and Nuclear Safety; Senate Committee on Environment and Public Works — Green Jobs and the New Economy; Senate Committee on Environment and Public Works — Transportation and Infrastructure; Senate Committee on Environment and Public Works — Water and Wildlife; Senate Committee on Finance; Senate Committee on Finance — Energy, Natural Resources, and Infrastructure; Senate Committee on Finance — Health Care; Senate Committee on Finance — Taxation and IRS Oversight; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Homeland Security and Governmental Affairs — Emergency Management, Intergovernmental Relations, and the District of Columbia; Senate Committee on Homeland Security and Governmental Affairs — Financial and Contracting Oversight; Senate Committee on Homeland Security and Governmental Affairs — Permanent Subcommittee on Investigations; Senate Committee on Homeland Security and Governmental Affairs — the Efficiency and Effectiveness of Federal Programs and the Federal Workforce"
