bioguide_id,annee,n_trades,n_buy,buy_share,notional,n_tickers,sect_dom,n_days,vol,sharpe,ret_annee,exces_spy_annee
D000613,2016,,,,,,,252.0,0.17125619067041006,0.12477001081179546,0.006719721822771252,-0.11325939385527772
D000613,2017,,,,,,,251.0,0.1515679338993608,0.38362649715777586,0.047602088613593274,-0.1694518259261959
D000613,2018,,,,,,,251.0,0.21019420354951476,0.27422365024113504,0.036077984525469065,0.08176808309576677
D000613,2019,,,,,,,252.0,0.2256330911817183,1.3916224303102964,0.3351352132731049,0.02289669024333585
D000613,2020,,,,,,,253.0,0.4901238482730919,0.699771411095631,0.2527135538300507,0.06939706655124067
D000613,2021,,,,,,,252.0,0.2483774344622658,-0.507531114421151,-0.14510419625430182,-0.43239151425133526
D000613,2022,,,,,,,251.0,0.370648824484108,-1.3776246468906483,-0.4390858645236687,-0.25733235091285334
D000613,2023,,,,,,,250.0,0.264874804667597,0.2912008434637117,0.0426367008443298,-0.21912126622500105
D000613,2024,,,,,,,252.0,0.2582388359642881,0.9749497203124671,0.2444276827289278,-0.0044369977091820445
D000613,2025,,,,,,,250.0,0.29802574867584736,0.2574653292442967,0.03303280307218226,-0.14415775204696413
D000613,2026,,,,,,,125.0,0.2857044395007041,-0.7496891532403913,-0.11872711238113609,-0.2167122056688856
D000615,2023,2.0,0.0,0.0,16001.0,2.0,Consumer Discretionary,,,,,
D000616,2025,2.0,0.0,0.0,40501.0,2.0,Consumer Staples,,,,,
D000617,2013,4.0,0.0,0.0,1108002.0,2.0,Information Technology,,,,,
D000617,2014,36.0,30.0,0.8333333333333334,943018.0,20.0,Industrials,163.0,0.2072042154024716,0.47686071423913606,0.05135966670930325,-0.05863977762357542
D000617,2015,25.0,16.0,0.64,685512.5,15.0,Information Technology,252.0,0.1753042801183734,0.41408863815931296,0.05895276326104737,0.04661011113488511
D000617,2016,46.0,14.0,0.30434782608695654,2127023.0,22.0,Information Technology,252.0,0.18433967882849822,1.3929686872072369,0.27090892746540507,0.1509298117873561
D000617,2017,8.0,6.0,0.75,1399004.0,1.0,Information Technology,251.0,0.1352871254800558,2.045580579642973,0.3053423730878386,0.08828845854804945
D000617,2018,10.0,8.0,0.8,33957005.0,1.0,Information Technology,251.0,0.26888168808775736,0.6704395235144537,0.15450080738568706,0.20019090595598477
D000617,2019,9.0,6.0,0.6666666666666666,32282004.5,1.0,Information Technology,252.0,0.19544181200533123,2.4058569911286565,0.5695295231622326,0.25729100013246353
D000617,2020,9.0,5.0,0.5555555555555556,37149004.5,1.0,Information Technology,253.0,0.4329080781262795,1.0542423380747794,0.4389724247259823,0.2556559374471723
D000617,2021,7.0,4.0,0.5714285714285714,46141003.5,1.0,Information Technology,252.0,0.19688800181310723,1.962706180617653,0.4432030674816816,0.15591574948464815
D000617,2022,,,,,,,251.0,0.2989870290795527,-0.5376300099907129,-0.18497487655002165,-0.0032213629392062737
D000617,2023,2.0,0.0,0.0,1125001.0,1.0,Information Technology,250.0,0.21392935395558552,1.2715472357500106,0.28045291902950664,0.018694951960175787
D000617,2024,2.0,0.0,0.0,350001.0,1.0,Information Technology,252.0,0.22599468413089763,0.2672409747646662,0.0354660125084989,-0.21339866792961093
D000617,2025,,,,,,,250.0,0.24866732931073757,1.0837431220148304,0.26723886562000687,0.09004831050086048
D000617,2026,,,,,,,125.0,0.3054515722626006,2.252737406758713,0.3745875575385007,0.2766024642507512
D000620,2013,1.0,0.0,0.0,8000.5,1.0,Consumer Discretionary,,,,,
D000620,2014,115.0,54.0,0.46956521739130436,20262557.5,27.0,Industrials,245.0,0.16650956072284764,0.2804239909167865,0.03248296565853548,-0.10554383079146024
