bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,sector_gics,etf_proxy,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,occurrence_index,provenance,date_confidence,ticker_source,sector_source,years_in_office
C001068,Steve Cohen,house,Democrat,TN09,HLIG02; HLIG11; HSJU01; HSJU08; HSJU10; House Committee on the Judiciary; House Permanent Select Committee on Intelligence,True,2019-06-24,2019-07-03,ENB,Enbridge Inc,Stock,Energy,XLE,Sale,"$1,001 - $15,000",8000.5,False,SELF,20011935,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011935.pdf,19b96a21f6b213a5afe5e587103f87e3a02896cc01b18b03ae10421e6d958462,0,house-pdf-electronic,,,yfinance,12
C001068,Steve Cohen,house,Democrat,TN09,HLIG02; HLIG11; HSJU01; HSJU08; HSJU10; House Committee on the Judiciary; House Permanent Select Committee on Intelligence,True,2019-06-24,2019-07-03,DUK,duke Energy Corporation,Stock,Utilities,XLU,Sale,"$1,001 - $15,000",8000.5,False,SELF,20011935,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011935.pdf,6fa03bcb04309dadf359d43f451c1a14f21af275ca6bc07399e34871f40ebb4f,0,house-pdf-electronic,,,yfinance,12
C001068,Steve Cohen,house,Democrat,TN09,HLIG02; HLIG11; HSJU01; HSJU08; HSJU10; House Committee on the Judiciary; House Permanent Select Committee on Intelligence,True,2019-06-24,2019-07-03,AAL,"American Airlines group, Inc.",Stock,Industrials,XLI,Sale,"$1,001 - $15,000",8000.5,False,SELF,20011935,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011935.pdf,b2489f0f9a0ba6150dee10f32d3c7b5f755ac4564974aadb3cb8012b02d1e9f5,0,house-pdf-electronic,,,yfinance,12
C001068,Steve Cohen,house,Democrat,TN09,HLIG02; HLIG11; HSJU01; HSJU08; HSJU10; House Committee on the Judiciary; House Permanent Select Committee on Intelligence,True,2019-06-24,2019-07-03,APVO,Aptevo Therapeutics Inc.,Stock,Health Care,XLV,Sale,$470,470.0,False,SELF,20011935,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011935.pdf,471f293e77d92c0d1b4e1b7d9aba05a14cca2f92ac7ff0eb08ad6fcb7d6e781e,0,house-pdf-electronic,,,yfinance,12
L000559,James R. Langevin,house,Democrat,RI02,,False,2019-06-27,2019-07-03,HUYA,HuYa Inc. american depositary a ordinary share,Stock,Communication Services,XLC,Sale,"$50,001",50001.0,False,SELF,20011936,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011936.pdf,23181fcccae0a687b36d3bdb9eccb9ee85008926ca46a9c4cc82667790efd6c6,0,house-pdf-electronic,,,yfinance,18
C001068,Steve Cohen,house,Democrat,TN09,HLIG02; HLIG11; HSJU01; HSJU08; HSJU10; House Committee on the Judiciary; House Permanent Select Committee on Intelligence,True,2019-06-24,2019-07-03,CCL,Carnival Corporation,Stock,Consumer Discretionary,XLY,Sale,"$1,001 - $15,000",8000.5,False,SELF,20011935,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011935.pdf,445cb08d62015ce617d0e8e4fb343993e7ebd8344b8f035c2839548490957e73,0,house-pdf-electronic,,,yfinance,12
F000450,Virginia Foxx,house,Republican,NC05,HSED02; HSGO24; House Committee on Education and Workforce; House Committee on Oversight and Government Reform; House Committee on Rules,False,2019-06-21,2019-07-02,BP,BP p.l.c.,Stock,Energy,XLE,Purchase,"$1,001 - $15,000",8000.5,False,JT,20011918,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011918.pdf,28e68bc05769574a5bc720db5fc81d62ad4b02c8a63dc823a280a083cfb360db,0,house-pdf-electronic,,,yfinance,14
C001078,Gerald E. Connolly,house,Democrat,VA11,,False,2019-06-26,2019-07-02,D,"Dominion Energy, Inc.",Stock,Utilities,XLU,Purchase,"$1,001 - $15,000",8000.5,False,JT,20011922,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011922.pdf,31df20d82e1003f0bb7f8b025d6f1fd75c906a853c1f42a46d3612673ed55b76,0,house-pdf-electronic,,,yfinance,10
C001101,Katherine M. Clark,house,Democrat,MA05,,False,2019-06-07,2019-07-02,,Healthsouth Corp Note,CS,,,Sale,"$1,001 - $15,000",8000.5,False,SELF,20011920,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011920.pdf,768406d62f4caac309d93bf5daac22c6333cc12274b6ec02c93cadb5405412a8,0,house-pdf-electronic,,,none,6
F000450,Virginia Foxx,house,Republican,NC05,HSED02; HSGO24; House Committee on Education and Workforce; House Committee on Oversight and Government Reform; House Committee on Rules,False,2019-06-18,2019-07-02,CWEN.A,"Clearway Energy, Inc. Class a",Stock,Utilities,XLU,Purchase,"$1,001 - $15,000",8000.5,False,JT,20011918,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011918.pdf,5cbbae61ed88116c261f04a3d46a77adc3be2ffb57c71b69f68b26051e6985be,0,house-pdf-electronic,,,llm,14
