year,doc_id,filing_date,declarant_name_raw,state_dst,pdf_url,local_path,http_status,download_status,file_size_bytes,sha256,content_type,n_pages,text_extractable_flag,downloaded_at,error_message
2025,20030998,2025-08-29,Rob Bresnahan,PA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030998.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030998.pdf,200,ok,68145,65ba8fe933a0c43b12f87cf11973caa92c9a4e519ac3c112eaa7e096ec572510,application/pdf,2,True,2026-06-23T16:04:24+00:00,
2025,20032276,2025-10-14,Rob Bresnahan,PA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20032276.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20032276.pdf,200,ok,97774,6e4dad4ad2bf5c45e654093b1bdb53809ea684b9792d2b84d7e05dc4a0742eb8,application/pdf,3,True,2026-06-23T16:04:25+00:00,
2025,20033574,2025-12-19,Rob Bresnahan,PA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20033574.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033574.pdf,200,ok,106266,00a194f17f6d4509a69782919de51ddadd6509b89d7d12d817b691254b63066f,application/pdf,4,True,2026-06-23T16:04:25+00:00,
2025,20027913,2025-03-06,Earl Leroy Carter,GA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027913.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20027913.pdf,200,ok,65441,7c53ee08dd084bd1d6882698610d691c0252d8b34c7535b6571a4a413ff19311,application/pdf,1,True,2026-06-23T16:04:26+00:00,
2025,20030215,2025-04-23,Earl Leroy Carter,GA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030215.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030215.pdf,200,ok,65170,19eebc53efc2ab26d2374585a95e96bbe51b4bbb110eb6d19ed57bc28376022d,application/pdf,1,True,2026-06-23T16:04:26+00:00,
2025,20030632,2025-07-08,Earl Leroy Carter,GA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030632.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030632.pdf,200,ok,65209,f4c5ca6adbd0a513ad93e72c28ae53f37b92c2e362fd4b76f7cc929f26bbeb4f,application/pdf,1,True,2026-06-23T16:04:27+00:00,
2025,20033691,2025-12-24,Ed Case,HI01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20033691.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033691.pdf,200,ok,62818,9432b05fdb23cf0a39ddec6ea9f00d3cfd33054f3370b741883a98253b47b03c,application/pdf,1,True,2026-06-23T16:04:27+00:00,
2025,20031001,2025-08-30,Judy Chu,CA28,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20031001.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20031001.pdf,200,ok,63600,af8daa2d3caa6e6e46e0b03052341d8d7bfacba209f4aa7a1eccea4aa890719c,application/pdf,1,True,2026-06-23T16:04:28+00:00,
2025,20026726,2025-02-11,Gilbert Cisneros,CA31,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026726.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20026726.pdf,200,ok,140098,5db9ebcd1fe9eaabc80914e56a3d6365ca9a7f98cdf16e3279d0d14c4e4b9e87,application/pdf,8,True,2026-06-23T16:04:28+00:00,
2025,20027891,2025-03-06,Gilbert Cisneros,CA31,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027891.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20027891.pdf,200,ok,111509,07dda88cbaa7779d98b59cfe03fa14348af2467ede8219c6799f947fae6697a9,application/pdf,4,True,2026-06-23T16:04:29+00:00,
2025,20029026,2025-04-07,Gilbert Cisneros,CA31,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029026.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20029026.pdf,200,ok,125375,adb4ef8ed20bf27e117072b6fed8705d9b2d87b63fd93d2981a414cacc5be0a0,application/pdf,6,True,2026-06-23T16:04:29+00:00,
2025,20030288,2025-05-06,Gilbert Cisneros,CA31,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030288.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030288.pdf,200,ok,132935,72f9ff318a495512ff99df0958350652fff11d29841d3a425f19a1fd1377933f,application/pdf,7,True,2026-06-23T16:04:30+00:00,
2025,20030461,2025-06-06,Gilbert Cisneros,CA31,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030461.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030461.pdf,200,ok,129491,2605368131c6353b216fe271f2e17e80df0652082d3d78b177167e292ee59c58,application/pdf,6,True,2026-06-23T16:04:30+00:00,
