doc_id,http_status,bytes
9109764,200,32435
9109904,200,30113
9109905,200,30062
9110215,200,31622
9110270,200,34856
20004472,200,67486
20004937,200,51356
20005016,200,51774
20005317,200,51212
20005402,200,50509
20005492,200,54734
20005655,200,51709
20005791,200,51310
20005820,200,50945
20005859,200,52247
20006235,200,50381
20006378,200,51355
20006436,200,50494
9109662,200,34408
9108449,200,60032
20004827,200,51739
9108366,200,32200
9110010,200,35057
20004324,200,70267
20004547,200,71033
20004696,200,70350
20005038,200,53422
20005309,200,53299
20005524,200,51753
20005957,200,61743
20006000,200,52166
20005721,200,52998
20004370,200,72476
20004605,200,74816
20004883,200,50665
20005219,200,51831
20005417,200,55031
20005619,200,56040
20005699,200,57304
20005960,200,53710
20006100,200,55603
20006260,200,55834
20004403,200,69415
20005259,200,61206
20005610,200,53807
20004695,200,79728
20005346,200,55538
20005501,200,54998
20005934,200,56948
9109423,200,29870
9109978,200,34523
9110231,200,34105
20005855,200,51703
20004941,200,50484
9109920,200,31423
9108420,200,29883
9109554,200,36567
9108312,200,65434
9108456,200,102832
9108569,200,66527
9108888,200,38246
9109477,200,177448
9109670,200,110357
9110008,200,153702
9110170,200,143975
9110302,200,145633
9108254,200,47175
9108651,200,47749
9109475,200,46219
9109476,200,48811
9109763,200,46652
9110268,200,48476
20000880,200,53864
20005941,200,51576
20006203,200,55130
20003301,200,50088
9108407,200,58964
9108477,200,61982
9109040,200,33768
9109612,200,60744
9109613,200,32433
9109738,200,60923
9109977,200,61567
9110267,200,63468
9109611,200,33063
20005115,200,51087
9108278,200,32168
9108342,200,30477
9108581,200,55843
9108887,200,55746
9109039,200,28653
9109810,200,30661
9109886,200,30751
9110026,200,29448
9110068,200,31110
9110140,200,30135
9110169,200,29447
9110250,200,30728
20006381,200,51541
20005557,200,61845
20006399,200,50567
20004440,200,69140
20004716,200,69472
20005120,200,51892
20006093,200,51281
20006431,200,52434
9108249,200,324753
9108405,200,112169
9108568,200,68894
9109506,200,34798
9110066,200,32960
9110065,200,32344
20004369,200,72094
20004386,200,67755
20004409,200,67840
20004449,200,70173
20004468,200,74957
20004593,200,74568
20004608,200,67782
20004609,200,68426
20004710,200,72283
20004790,200,53289
20004847,200,51262
20004851,200,50965
20004942,200,51706
20005014,200,52144
20005072,200,51137
20005188,200,55399
20005189,200,51311
20005190,200,50855
20005204,200,51449
20005281,200,52745
20005395,200,54309
20005443,200,51488
20005587,200,52341
20005703,200,52029
20005814,200,54330
20005927,200,51466
20005970,200,52137
20006066,200,54685
20006154,200,50913
20006236,200,53911
20006341,200,51794
20004333,200,150812
20004510,200,127375
20004691,200,194583
20004868,200,80494
20005044,200,118523
20005260,200,78791
20005481,200,93939
20005638,200,71177
20005842,200,69405
20005997,200,126627
20006290,200,82323
20005221,200,56590
20005336,200,52881
20005556,200,50975
20005750,200,58215
20005955,200,52136
20006194,200,50671
20006403,200,53332
9108196,200,201737
9108309,200,64625
9108476,200,63945
9108580,200,64315
9108688,200,349617
9109458,200,94452
9109568,200,109721
9109762,200,36663
9109975,200,39073
9110127,200,100337
9110214,200,75962
9110305,200,163049
9108384,200,277913
9108468,200,881614
9108579,200,320936
9109038,200,238805
9109515,200,663620
9109669,200,425558
