bioguide_id,declarant_name,last,first,party,chamber,state,district
O000133,Donald O’Toole,O’Toole,Donald,Democrat,house,NY,13.0
P000327,Thomas Pickett,Pickett,Thomas,Democrat,house,TX,7.0
Q000021,Thomas Quinn,Quinn,Thomas,Democrat,house,NY,5.0
R000025,Robert Ramsay,Ramsay,Robert,Democrat,house,WV,1.0
R000056,John Rankin,Rankin,John,Democrat,house,MS,1.0
R000104,Monroe Redden,Redden,Monroe,Democrat,house,NC,12.0
R000453,Robert Ross,Ross,Robert,Republican,house,NY,5.0
S000001,Adolph Sabath,Sabath,Adolph,Democrat,house,IL,7.0
S000067,Lansdale Sasscer,Sasscer,Lansdale,Democrat,house,MD,5.0
S000155,George Schwabe,Schwabe,George,Republican,house,OK,1.0
S000172,Hardie Scott,Scott,Hardie,Republican,house,PA,3.0
S000461,Edward Sittler,Sittler,Edward,Republican,house,PA,23.0
S000845,Karl Stefan,Stefan,Karl,Republican,house,NE,3.0
S000923,William Stigler,Stigler,William,Democrat,house,OK,2.0
S000936,Lowell Stockman,Stockman,Lowell,Republican,house,OR,2.0
S001056,John Sullivan,Sullivan,John,Democrat,house,MO,11.0
T000005,Boyd Tackett,Tackett,Boyd,Democrat,house,AR,4.0
T000009,Robert Taft,Taft,Robert,Republican,senate,OH,
T000289,Charles Tobey,Tobey,Charles,Republican,senate,NH,
T000320,Harry Towe,Towe,Harry,Republican,house,NJ,9.0
V000003,Richard Vail,Vail,Richard,Republican,house,IL,2.0
V000077,Albert Vaughn,Vaughn,Albert,Republican,house,PA,8.0
W000264,Philip Welch,Welch,Philip,Democrat,house,MO,3.0
W000298,Thomas Werdel,Werdel,Thomas,Republican,house,CA,10.0
W000699,John Wood,Wood,John,Democrat,house,GA,9.0
W000700,John Wood,Wood,John,Republican,house,ID,1.0
W000718,Roy Woodruff,Woodruff,Roy,Republican,house,MI,10.0
D000198,Edward deGraffenried,deGraffenried,Edward,Democrat,house,AL,6.0
W000658,Garrett Withers,Withers,Garrett,Democrat,house,KY,2.0
N000116,Richard Nixon,Nixon,Richard,Republican,senate,CA,
M000559,Brien McMahon,McMahon,Brien,Democrat,senate,CT,
M000878,Arthur Moody,Moody,Arthur,Democrat,senate,MI,
S000214,Frederick Seaton,Seaton,Frederick,Republican,senate,NE,
U000015,Thomas Underwood,Underwood,Thomas,Democrat,senate,KY,
D000414,Forrest Donnell,Donnell,Forrest,Republican,senate,MO,
G000532,John Gurney,Gurney,John,Republican,senate,SD,
L000493,Scott Lucas,Lucas,Scott,Democrat,senate,IL,
M001127,Francis Myers,Myers,Francis,Democrat,senate,PA,
T000079,Glen Taylor,Taylor,Glen,Democrat,senate,ID,
T000164,Elbert Thomas,Thomas,Elbert,Democrat,senate,UT,
T000177,John Thomas,Thomas,John,Democrat,senate,OK,
T000446,Millard Tydings,Tydings,Millard,Democrat,senate,MD,
V000025,Arthur Vandenberg,Vandenberg,Arthur,Republican,senate,MI,
B000232,George Bates,Bates,George,Republican,house,MA,6.0
B000448,Andrew Biemiller,Biemiller,Andrew,Democrat,house,WI,5.0
B000545,Schuyler Bland,Bland,Schuyler,Democrat,house,VA,1.0
B000609,William Bolton,Bolton,William,Democrat,house,MD,2.0
B001028,James Buckley,Buckley,James,Democrat,house,IL,4.0
B001056,Alfred Bulwinkle,Bulwinkle,Alfred,Democrat,house,NC,11.0
B001100,Thomas Burke,Burke,Thomas,Democrat,house,OH,9.0
C000259,Anthony Cavalcante,Cavalcante,Anthony,Democrat,house,PA,23.0
C000317,Virgil Chapman,Chapman,Virgil,Democrat,senate,KY,
C000347,Chester Chesney,Chesney,Chester,Democrat,house,IL,11.0
C000390,Ralph Church,Church,Ralph,Republican,house,IL,13.0
C000586,Robert Coffey,Coffey,Robert,Democrat,house,PA,26.0
C000926,Thurman Crook,Crook,Thurman,Democrat,house,IN,3.0
D000071,Harry Davenport,Davenport,Harry,Democrat,house,PA,29.0
D000089,John Davies,Davies,John,Democrat,house,NY,35.0
D000454,Helen Douglas,Douglas,Helen,Democrat,house,CA,14.0
E000178,Albert Engel,Engel,Albert,Republican,house,MI,9.0
G000219,William Gilmer,Gilmer,William,Democrat,house,OK,1.0
G000331,Chester Gorski,Gorski,Chester,Democrat,house,NY,44.0
G000332,Martin Gorski,Gorski,Martin,Democrat,house,IL,5.0
G000521,Ben Guill,Guill,Ben,Republican,house,TX,18.0
H000202,James Hare,Hare,James,Democrat,house,SC,3.0
H000663,Samuel Hobbs,Hobbs,Samuel,Democrat,house,AL,4.0
H000898,Walter Huber,Huber,Walter,Democrat,house,OH,14.0
J000034,Andrew Jacobs,Jacobs,Andrew,Democrat,house,IN,11.0
J000096,John Jennings,Jennings,John,Republican,house,TN,2.0
K000012,Raymond Karst,Karst,Raymond,Democrat,house,MO,12.0
K000041,Frank Keefe,Keefe,Frank,Republican,house,WI,6.0
K000334,Edward Kruse,Kruse,Edward,Democrat,house,IN,4.0
L000161,Jay Le Fevre,Le Fevre,Jay,Republican,house,NY,30.0
L000238,William Lemke,Lemke,William,Republican,house,ND,0.0
L000251,John Lesinski,Lesinski,John,Democrat,house,MI,16.0
L000301,Franklin Lichtenwalter,Lichtenwalter,Franklin,Republican,house,PA,8.0
L000332,Neil Linehan,Linehan,Neil,Democrat,house,IL,3.0
L000395,John Lodge,Lodge,John,Republican,house,CT,4.0
L000537,Walter Lynch,Lynch,Walter,Democrat,house,NY,23.0
M000037,William Macy,Macy,William,Republican,house,NY,1.0
M000122,Vito Marcantonio,Marcantonio,Vito,American Labor,house,NY,18.0
M000144,John Marsalis,Marsalis,John,Democrat,house,CO,3.0
M000574,Rolla McMillen,McMillen,Rolla,Republican,house,IL,22.0
M000606,John McSweeney,McSweeney,John,Democrat,house,OH,16.0
M000680,Herbert Meyer,Meyer,Herbert,Republican,house,KS,3.0
M000693,Earl Michener,Michener,Earl,Republican,house,MI,2.0
M000705,John Miles,Miles,John,Democrat,house,NM,0.0
N000129,James Noland,Noland,James,Democrat,house,IN,7.0
N000153,Mary Norton,Norton,Mary,Democrat,house,NJ,13.0
O000122,Eugene O’Sullivan,O’Sullivan,Eugene,Democrat,house,NE,2.0
P000002,Stephen Pace,Pace,Stephen,Democrat,house,GA,3.0
P000261,James Peterson,Peterson,James,Democrat,house,FL,1.0
P000285,Joseph Pfeifer,Pfeifer,Joseph,Democrat,house,NY,8.0
P000286,William Pfeiffer,Pfeiffer,William,Republican,house,NY,42.0
P000306,Dayton Phillips,Phillips,Dayton,Republican,house,TN,1.0
P000395,Charles Plumley,Plumley,Charles,Republican,house,VT,0.0
R000209,Robert Rich,Rich,Robert,Republican,house,PA,15.0
S000011,George Sadowski,Sadowski,George,Democrat,house,MI,1.0
S000029,John Sanborn,Sanborn,John,Republican,house,ID,2.0
S000439,Hugo Sims,Sims,Hugo,Democrat,house,SC,2.0
S000536,Frederick Smith,Smith,Frederick,Republican,house,OH,8.0
S000676,Andrew Somers,Somers,Andrew,Democrat,house,NY,10.0
T000056,Anthony Tauriello,Tauriello,Anthony,Democrat,house,NY,43.0
T000175,John Thomas,Thomas,John,Republican,house,NJ,7.0
W000012,James Wadsworth,Wadsworth,James,Republican,house,NY,41.0
W000019,Earl Wagner,Wagner,Earl,Democrat,house,OH,2.0
W000100,John Walsh,Walsh,John,Democrat,house,IN,5.0
W000265,Richard Welch,Welch,Richard,Republican,house,CA,5.0
W000344,Kenneth Wherry,Wherry,Kenneth,Republican,senate,NE,
W000359,Cecil White,White,Cecil,Democrat,house,CA,9.0
W000361,Compton White,White,Compton,Democrat,house,ID,1.0
W000430,William Whittington,Whittington,William,Democrat,house,MS,3.0
W000582,George Wilson,Wilson,George,Democrat,house,OK,8.0
W000714,Chase Woodhouse,Woodhouse,Chase,Democrat,house,CT,2.0
W000744,Francis Worley,Worley,Francis,Democrat,house,TX,18.0
W000348,John Whitaker,Whitaker,John,Democrat,house,KY,2.0
D000469,Sheridan Downey,Downey,Sheridan,Democrat,senate,CA,
D000048,Harry Darby,Darby,Harry,Republican,senate,KS,
G000353,Frank Graham,Graham,Frank,Democrat,senate,NC,
L000173,Edward Leahy,Leahy,Edward,Democrat,senate,RI,
B000099,Joseph Ball,Ball,Joseph,Republican,senate,MN,
B000874,Charles Brooks,Brooks,Charles,Republican,senate,IL,
B001013,Clayton Buck,Buck,Clayton,Republican,senate,DE,
C000133,Arthur Capper,Capper,Arthur,Republican,senate,KS,
H000334,Carl Hatch,Hatch,Carl,Democrat,senate,NM,
H000365,Albert Hawkes,Hawkes,Albert,Republican,senate,NJ,
M000895,Edward Moore,Moore,Edward,Republican,senate,OK,
O000034,Wilbert O’Daniel,O’Daniel,Wilbert,Democrat,senate,TX,
R000320,Edward Robertson,Robertson,Edward,Republican,senate,WY,
S000901,Arthur Stewart,Stewart,Arthur,Democrat,senate,TN,
W000396,Wallace White,White,Wallace,Republican,senate,ME,
W000581,George Wilson,Wilson,George,Republican,senate,IA,
R000112,Clyde Reed,Reed,Clyde,Republican,senate,KS,
W000021,Robert Wagner,Wagner,Robert,Democrat,senate,NY,
B000095,Raymond Baldwin,Baldwin,Raymond,Republican,senate,CT,
A000163,James Almond,Almond,James,Democrat,house,VA,6.0
A000250,Walter Andrews,Andrews,Walter,Republican,house,NY,42.0
A000296,Samuel Arnold,Arnold,Samuel,Republican,house,MO,1.0
B000119,Parke Banta,Banta,Parke,Republican,house,MO,8.0
B000332,Charles Bell,Bell,Charles,Democrat,house,MO,4.0
B000379,Marion Bennett,Bennett,Marion,Republican,house,MO,6.0
B000750,Willis Bradley,Bradley,Willis,Republican,house,CA,18.0
B000891,John Brophy,Brophy,John,Republican,house,WI,4.0
B001016,Ellsworth Buck,Buck,Ellsworth,Republican,house,NY,16.0
B001096,Raymond Burke,Burke,Raymond,Republican,house,OH,3.0
C000192,Henderson Carson,Carson,Henderson,Republican,house,OH,16.0
C000268,E. Chadwick,Chadwick,E.,Republican,house,PA,7.0
C000439,Jerome Clark,Clark,Jerome,Democrat,house,NC,7.0
C000473,Charles Clason,Clason,Charles,Republican,house,MA,2.0
C000529,Roy Clippinger,Clippinger,Roy,Republican,house,IL,24.0
C000590,Howard Coffin,Coffin,Howard,Republican,house,MI,13.0
C000810,William Courtney,Courtney,William,Democrat,house,TN,7.0
C000887,William Cravens,Cravens,William,Democrat,house,AR,4.0
C000939,William Crow,Crow,William,Republican,house,PA,23.0
D000007,Thomas D’Alesandro,D’Alesandro,Thomas,Democrat,house,MD,3.0
D000212,John Delaney,Delaney,John,Democrat,house,NY,7.0
D000280,Edward Devitt,Devitt,Edward,Republican,house,MN,4.0
D000406,James Domengeaux,Domengeaux,James,Democrat,house,LA,3.0
D000496,Patrick Drewry,Drewry,Patrick,Democrat,house,VA,4.0
E000119,Alfred Elliott,Elliott,Alfred,Democrat,house,CA,10.0
E000135,Hubert Ellis,Ellis,Hubert,Republican,house,WV,4.0
E000159,Edward Elsaesser,Elsaesser,Edward,Republican,house,NY,43.0
F000191,John Flannagan,Flannagan,John,Democrat,house,VA,9.0
F000199,Charles Fletcher,Fletcher,Charles,Republican,house,CA,23.0
F000241,John Folger,Folger,John,Democrat,house,NC,5.0
