bioguide,categorie,quadrant,n_photos,a_flux,a_photo_entree,dans_cohorte_Ca,dans_cohorte_papier,premiere_photo,derniere_photo
C000984,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-05-12,2019-05-13
C001036,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-05-05,2017-01-17
C001037,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-05-09,2019-01-26
C001038,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-05-15,2019-04-03
C001039,reconstructible partiel,arrivés restés,7,False,False,False,False,2020-05-12,2025-08-09
C001045,reconstructible partiel,déjà-là partis,3,True,False,False,False,2015-05-13,2017-01-10
C001046,reconstructible partiel,déjà-là partis,1,True,False,False,False,2014-09-15,2014-09-15
C001047,reconstructible partiel,déjà-là partis,0,True,False,False,False,,
C001048,reconstructible partiel,déjà-là partis,5,True,False,False,False,2015-05-15,2019-02-01
C001049,reconstructible partiel,déjà-là partis,7,True,False,False,False,2015-04-14,2021-04-02
C001051,reconstructible partiel,déjà-là restés,12,False,False,False,False,2015-05-04,2026-05-14
C001053,reconstructible partiel,déjà-là restés,11,True,False,False,False,2015-05-15,2025-07-16
C001054,reconstructible partiel,cycle complet,9,False,False,False,False,2019-05-15,2026-05-15
C001059,reconstructible partiel,déjà-là restés,11,True,False,False,False,2015-05-15,2025-08-12
C001061,reconstructible partiel,déjà-là restés,11,False,False,False,False,2015-05-15,2025-08-12
C001062,reconstructible partiel,déjà-là partis,7,True,False,False,False,2015-08-13,2021-04-30
C001063,reconstructible partiel,déjà-là restés,13,False,False,False,False,2015-05-15,2026-05-15
C001064,reconstructible partiel,déjà-là partis,2,False,False,False,False,2014-04-29,2015-01-27
C001066,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-15,2026-05-24
C001067,reconstructible partiel,déjà-là restés,10,False,False,False,False,2015-07-29,2025-08-13
C001068,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-14,2026-05-15
C001069,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-12,2026-05-14
C001072,reconstructible partiel,déjà-là restés,12,False,False,False,False,2015-05-15,2026-05-12
C001075,reconstructible partiel,déjà-là partis,0,True,False,False,False,,
C001076,reconstructible partiel,déjà-là partis,4,True,False,False,False,2015-05-13,2017-08-31
C001077,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-05-15,2019-01-31
C001078,reconstructible partiel,déjà-là partis,11,True,False,False,False,2015-05-15,2025-05-13
C001080,reconstructible partiel,déjà-là restés,13,True,False,False,False,2015-05-14,2026-05-14
C001083,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-06-15,2017-02-02
C001084,reconstructible partiel,déjà-là partis,9,False,False,False,False,2015-05-15,2023-05-15
C001090,reconstructible partiel,déjà-là partis,11,True,False,False,False,2015-07-14,2025-05-01
C001091,reconstructible partiel,déjà-là restés,11,False,False,False,False,2015-07-15,2025-08-12
C001092,reconstructible partiel,déjà-là partis,6,True,False,False,False,2015-04-21,2019-10-30
C001093,reconstructible partiel,déjà-là partis,7,False,False,False,False,2015-05-15,2021-03-01
C001094,reconstructible partiel,déjà-là partis,7,False,False,False,False,2015-04-29,2021-01-12
C001096,reconstructible partiel,déjà-là partis,4,False,False,False,False,2015-04-19,2018-05-05
C001097,reconstructible partiel,déjà-là partis,11,False,False,False,False,2015-05-14,2025-01-31
C001101,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-13,2026-05-15
C001102,reconstructible partiel,cycle complet,4,True,False,False,False,2014-03-27,2017-01-31
C001106,reconstructible partiel,cycle complet,6,False,False,False,False,2014-04-23,2019-01-31
C001108,reconstructible partiel,arrivés restés,11,True,False,False,False,2015-11-01,2025-08-12
C001109,reconstructible partiel,cycle complet,8,False,True,False,False,2016-07-14,2023-03-05
C001110,reconstructible partiel,arrivés restés,12,False,False,False,False,2015-07-21,2026-05-15
C001112,reconstructible partiel,arrivés restés,11,False,False,False,False,2015-05-13,2025-05-06
C001114,reconstructible partiel,cycle complet,8,True,False,False,False,2017-07-18,2024-08-05
C001115,reconstructible partiel,arrivés restés,9,False,False,False,False,2017-11-03,2025-05-13
C001116,reconstructible partiel,arrivés restés,6,False,True,False,False,2020-05-09,2025-08-13
C001117,reconstructible partiel,arrivés restés,9,True,False,False,False,2017-08-24,2025-08-06
C001118,reconstructible partiel,arrivés restés,9,False,False,False,False,2017-12-27,2025-08-13
C001119,reconstructible partiel,arrivés restés,12,True,False,False,False,2015-08-13,2026-05-14
C001121,reconstructible partiel,arrivés restés,9,False,True,False,False,2017-08-18,2025-08-13
C001122,reconstructible partiel,cycle complet,5,False,False,False,False,2017-11-03,2021-02-21
C001125,reconstructible partiel,arrivés restés,5,False,False,False,False,2021-04-02,2026-05-14
C001126,reconstructible partiel,arrivés restés,5,False,True,False,False,2021-07-02,2025-08-13
C001127,reconstructible partiel,cycle complet,5,False,True,False,False,2021-12-22,2025-08-13
C001128,reconstructible partiel,cycle complet,2,False,False,False,False,2022-07-29,2023-03-30
C001129,reconstructible partiel,arrivés restés,6,True,False,False,False,2014-05-15,2025-06-15
C001130,reconstructible partiel,arrivés restés,5,False,True,False,False,2022-10-21,2025-08-13
C001132,reconstructible partiel,arrivés restés,6,False,True,False,False,2021-10-01,2026-05-14
C001133,reconstructible partiel,arrivés restés,5,False,False,False,False,2021-10-01,2025-05-15
C001135,reconstructible partiel,cycle complet,4,False,True,False,False,2021-10-15,2024-08-13
C001136,reconstructible partiel,arrivés restés,3,False,True,False,False,2024-04-05,2025-08-13
C001137,reconstructible partiel,arrivés restés,2,False,True,False,False,2024-05-13,2025-07-03
D000096,reconstructible partiel,déjà-là restés,11,False,False,False,False,2015-06-10,2025-06-09
D000191,reconstructible partiel,déjà-là partis,9,True,False,False,False,2015-05-05,2023-01-14
D000197,reconstructible partiel,déjà-là restés,11,False,False,False,False,2015-06-06,2025-06-10
D000216,reconstructible partiel,déjà-là restés,11,False,False,False,False,2015-05-12,2025-05-13
D000230,reconstructible partiel,arrivés restés,10,False,False,False,False,2014-05-07,2026-05-16
