bioguide,date,ftype,n_photo,n_confirmees,n_apparues,n_disparues
B001299,2016-05-16,C,20,10.0,10.0,6.0
B001299,2017-05-15,H,18,15.0,3.0,5.0
B001299,2018-05-15,O,18,2.0,16.0,17.0
B001299,2019-05-14,O,23,15.0,8.0,3.0
B001299,2020-08-13,O,15,14.0,1.0,10.0
B001299,2021-07-27,O,20,12.0,8.0,8.0
B001299,2022-05-14,O,17,10.0,7.0,10.0
B001299,2023-04-11,O,13,10.0,3.0,7.0
B001299,2024-08-13,O,13,13.0,0.0,1.0
B001300,2015-08-13,C,12,,,
B001300,2016-04-30,C,12,9.0,3.0,3.0
B001300,2017-05-13,H,14,12.0,2.0,0.0
B001300,2018-05-12,O,16,1.0,15.0,13.0
B001300,2019-04-23,O,16,14.0,2.0,2.0
B001300,2020-06-20,O,16,16.0,0.0,0.0
B001300,2021-04-30,O,16,16.0,0.0,0.0
B001300,2022-05-09,O,15,14.0,1.0,2.0
B001300,2023-04-13,O,11,10.0,1.0,5.0
B001300,2024-04-29,O,19,9.0,10.0,7.0
B001300,2025-05-26,O,24,15.0,9.0,4.0
B001301,2016-06-29,C,9,,,
B001301,2017-06-19,H,10,8.0,2.0,1.0
B001301,2018-05-15,O,11,0.0,11.0,10.0
B001301,2019-05-15,O,11,11.0,0.0,0.0
B001301,2020-08-14,O,11,11.0,0.0,0.0
B001301,2021-07-29,O,11,11.0,0.0,0.0
B001301,2022-06-08,O,10,10.0,0.0,1.0
B001301,2023-05-15,O,10,10.0,0.0,0.0
B001301,2024-05-15,O,10,10.0,0.0,0.0
B001301,2025-05-14,O,10,10.0,0.0,0.0
B001301,2026-05-05,O,10,10.0,0.0,0.0
B001302,2017-05-15,H,9,,,
B001302,2018-05-14,O,10,0.0,10.0,9.0
B001302,2019-05-13,O,10,10.0,0.0,0.0
B001302,2020-08-31,O,10,10.0,0.0,0.0
B001302,2021-08-03,O,10,10.0,0.0,0.0
B001302,2022-05-10,O,10,8.0,2.0,2.0
B001302,2023-08-11,O,9,8.0,1.0,2.0
B001302,2024-05-14,O,8,7.0,1.0,2.0
B001302,2025-08-04,O,8,8.0,0.0,0.0
B001302,2026-05-13,O,8,8.0,0.0,0.0
B001303,2017-05-05,H,30,,,
B001303,2018-05-10,O,34,13.0,21.0,26.0
B001303,2019-05-14,O,37,25.0,12.0,13.0
B001303,2020-08-04,O,27,26.0,1.0,11.0
B001303,2021-08-10,O,35,19.0,16.0,8.0
B001303,2022-06-21,O,31,23.0,8.0,12.0
B001303,2023-05-11,O,30,24.0,6.0,7.0
B001303,2024-05-14,O,31,9.0,22.0,21.0
B001304,2015-04-19,C,6,,,
B001304,2016-05-04,C,4,4.0,0.0,2.0
B001304,2017-04-16,H,4,4.0,0.0,0.0
B001304,2018-04-25,O,5,0.0,5.0,4.0
B001304,2019-05-07,O,7,3.0,4.0,2.0
B001304,2019-08-19,C,5,0.0,5.0,7.0
B001304,2020-04-18,O,9,0.0,9.0,5.0
B001304,2021-05-19,O,9,2.0,7.0,7.0
B001304,2022-04-26,O,9,6.0,3.0,3.0
B001304,2023-01-14,T,10,9.0,1.0,0.0
B001305,2016-05-05,C,30,,,
B001305,2017-07-27,H,36,11.0,25.0,19.0
B001305,2018-07-12,O,70,0.0,70.0,36.0
B001305,2019-07-22,O,69,44.0,25.0,26.0
B001305,2020-08-04,O,65,18.0,47.0,51.0
B001305,2021-07-30,O,64,17.0,47.0,48.0
B001305,2022-08-12,O,69,38.0,31.0,26.0
B001306,2018-01-05,C,4,,,
B001306,2018-09-20,C,3,0.0,3.0,4.0
B001306,2019-05-15,O,4,2.0,2.0,1.0
B001306,2020-08-13,O,4,4.0,0.0,0.0
B001306,2021-08-13,O,4,3.0,1.0,1.0
B001306,2022-05-12,O,4,3.0,1.0,1.0
B001306,2023-05-10,O,4,1.0,3.0,3.0
B001306,2024-05-02,O,4,3.0,1.0,1.0
