bioguide,date,sens,cause,n
B000213,2017-08-08,apparue,residuel,3
B000213,2018-06-14,apparue,nom,1
B000213,2018-06-14,disparue,nom,3
B000213,2018-06-14,disparue,residuel,3
B000213,2019-02-26,apparue,nom,1
B000213,2019-02-26,disparue,nom,1
B000287,2016-06-15,apparue,residuel,1
B000287,2017-03-24,apparue,nom,13
B000287,2017-03-24,disparue,nom,30
B000287,2017-03-24,disparue,type_photo,1
B000490,2017-04-28,apparue,nom,1
B000490,2017-04-28,disparue,nom,2
B000490,2018-05-10,apparue,nom,3
B000490,2018-05-10,disparue,nom,4
B000490,2019-05-14,disparue,nom,1
B000490,2019-05-14,disparue,residuel,1
B000490,2021-08-09,apparue,nom,1
B000490,2021-08-09,disparue,nom,1
B000490,2025-05-14,apparue,nom,1
B000574,2016-05-11,disparue,nom,2
B000574,2017-05-09,disparue,nom,1
B000574,2018-05-07,apparue,nom,37
B000574,2018-05-07,disparue,nom,40
B000574,2018-05-07,disparue,residuel,31
B000574,2019-05-06,apparue,nom,30
B000574,2019-05-06,apparue,premiere,19
B000574,2019-05-06,disparue,nom,43
B000574,2019-05-06,disparue,residuel,7
B000574,2020-08-10,apparue,nom,10
B000574,2020-08-10,apparue,premiere,1
B000574,2020-08-10,apparue,residuel,11
B000574,2020-08-10,disparue,nom,20
B000574,2020-08-10,disparue,residuel,28
B000574,2021-06-23,apparue,nom,17
B000574,2021-06-23,apparue,premiere,23
B000574,2021-06-23,apparue,residuel,8
B000574,2021-06-23,disparue,nom,21
B000574,2021-06-23,disparue,residuel,12
B000574,2022-05-15,apparue,nom,18
B000574,2022-05-15,apparue,premiere,1
B000574,2022-05-15,apparue,residuel,4
B000574,2022-05-15,disparue,nom,27
B000574,2022-05-15,disparue,residuel,10
B000574,2023-05-15,apparue,nom,24
B000574,2023-05-15,apparue,premiere,2
B000574,2023-05-15,apparue,residuel,3
B000574,2023-05-15,disparue,nom,28
B000574,2023-05-15,disparue,residuel,10
B000574,2024-05-13,apparue,nom,18
B000574,2024-05-13,apparue,premiere,3
B000574,2024-05-13,apparue,residuel,7
B000574,2024-05-13,disparue,nom,24
B000574,2024-05-13,disparue,residuel,9
B000574,2025-01-29,apparue,nom,25
B000574,2025-01-29,apparue,premiere,5
B000574,2025-01-29,apparue,type_photo,2
B000574,2025-01-29,disparue,nom,40
B000574,2025-01-29,disparue,type_photo,13
B000589,2015-11-19,apparue,nom,12
B000589,2015-11-19,apparue,premiere,2
B000589,2015-11-19,apparue,type_photo,2
B000589,2015-11-19,disparue,nom,22
B000589,2015-11-19,disparue,type_photo,5
B000668,2021-08-09,apparue,nom,13
B000668,2021-08-09,apparue,premiere,1
B000668,2021-08-09,disparue,nom,24
B000668,2021-08-09,disparue,type_photo,1
B000668,2022-05-18,apparue,nom,16
B000668,2022-05-18,apparue,premiere,1
B000668,2022-05-18,disparue,nom,11
B000668,2022-05-18,disparue,type_photo,15
B000668,2023-05-11,apparue,nom,28
B000668,2023-05-11,apparue,premiere,1
B000668,2023-05-11,apparue,residuel,1
B000668,2023-05-11,disparue,nom,30
B000668,2024-08-05,apparue,nom,13
B000668,2024-08-05,apparue,premiere,1
B000668,2024-08-05,disparue,nom,10
B000668,2025-06-27,apparue,nom,2
B000668,2025-06-27,apparue,premiere,54
B000668,2025-06-27,apparue,residuel,4
B000668,2025-06-27,disparue,nom,19
B000668,2025-06-27,disparue,residuel,1
B000668,2026-05-11,apparue,nom,5
B000668,2026-05-11,apparue,premiere,1
B000668,2026-05-11,apparue,residuel,3
B000668,2026-05-11,disparue,nom,6
B000668,2026-05-11,disparue,residuel,3
B000740,2020-05-30,apparue,nom,20
B000740,2020-05-30,apparue,premiere,3
B000740,2020-05-30,disparue,nom,4
