last,first,suffix,state_district,n_depots,types,bioguide,match_method
Anderson,Dennis,,IL14,1,C,,aucun_nom
Anderson,Derrick,,VA07,6,CX,,aucun_nom
Anderson,Diane,,,1,W,,aucun_nom
Anderson,Diane,,WI01,5,CDW,,aucun_nom
Anderson,Elizabeth,,AL06,3,CW,,aucun_nom
Anderson,Ikaika,,HI01,2,AC,,aucun_nom
Anderson,Jason,,CA19,1,C,,aucun_nom
Anderson,Jeramey Dewayne,,MS04,2,C,,aucun_nom
Anderson,Jo,,IN03,1,X,,aucun_nom
Anderson,John Carnan,,TX31,1,C,,aucun_nom
Anderson,John David,,OH10,1,C,,aucun_nom
Anderson,Kathleen,,UT04,2,CX,,aucun_nom
Anderson,Paul,,NE02,1,D,,aucun_nom
Anderson,Peter O.,,CA39,2,CD,,aucun_nom
Anderson,Stephanie Ms,,FL23,1,D,,aucun_nom
Anderson,Tera,,NV03,1,X,,aucun_nom
Anderson,Terell Terell,,AL02,2,AC,,aucun_nom
Anderson,Willie Jeffeerson,,FL02,1,W,,aucun_nom
Anderson,Willie Jefferson,Jr.,FL02,2,CD,,aucun_nom
Anderson Kelliher,Margaret,,MN05,1,C,,aucun_nom
Andrade,Christopher Alen,,NC07,1,C,,aucun_nom
Andrei,Linda,,NY23,2,C,,aucun_nom
Andres,Edward H.,,MO06,1,C,,aucun_nom
Andres-Beck,Beth,,MA06,2,CX,,aucun_nom
Andrew,Philip Jerome,,IL09,2,CX,,aucun_nom
Andrews,Aliscia,,VA10,6,CX,,etat_incoherent
Andrews,Annie,,SC01,2,C,,etat_incoherent
Andrews,Naomi,,NH01,1,C,,etat_incoherent
Andrews,Naomi,,OK02,1,C,,etat_incoherent
Andrews,Robert E.,,NJ01,2,PT,A000210,prefixe
Andrews,Russ Albert,,CO03,3,CX,,etat_incoherent
Andujo,Joseph Luis,,CO08,1,C,,aucun_nom
Aneralla,John,,NC13,2,WX,,aucun_nom
Angel,Angela,,MD04,1,D,,aucun_nom
Angelle,Scott,,LA03,2,CX,,aucun_nom
Angle,Sharron E.,,NV02,1,D,,aucun_nom
Ansari,Yassamin,,AZ03,6,CHX,A000381,exact
Ansel,Jeffrey,,TX13,1,C,,aucun_nom
Anstead,Chris,,CA26,1,C,,aucun_nom
Antani,Niraj Jaimini,,OH02,3,ACX,,aucun_nom
Anthanasopoulos,George,,CO07,1,C,,aucun_nom
Anthony,Aaron,,PA12,1,C,,aucun_nom
Anthony,Charles,,MD03,1,D,,aucun_nom
Anthony,Malcolm,,FL06,2,CW,,aucun_nom
Anthony,Stavros,,NV04,1,C,,aucun_nom
Antropov,Jayden,,FL22,4,D,,aucun_nom
Anzalone,John Anthony,,NV04,1,C,,aucun_nom
Anzoli,Armando Luciano,,RI02,1,C,,aucun_nom
Apodaca,Rob,,NM03,1,C,,aucun_nom
Appeaning,Anjanita Monique,,LA06,1,C,,aucun_nom
Appel,Staci,,IA03,1,C,,aucun_nom
Apple,Gary Winston,,MO06,1,C,,aucun_nom
Appleby,Alexander E.,,CA09,1,D,,aucun_nom
Applefield,David,,NJ04,1,C,,aucun_nom
Applegate,Doouglas Loren,,CA49,1,X,,aucun_nom
Applegate,Douglas Loren,,CA49,3,C,,aucun_nom
Aquino,Darren Dione,,FL19,4,ACD,,aucun_nom
Aquino,Darren Dione,,FL25,2,CD,,aucun_nom
Aranda,Miguel,,WI01,3,CD,,aucun_nom
Arata,Lawrence V.,,PA05,1,C,,aucun_nom
Araujo,Hector,,AZ09,1,C,,aucun_nom
Arballo,Phil,,CA13,2,C,,aucun_nom
Arballo,Phil,,CA22,4,AC,,aucun_nom
Arcand,Alan David,,MI01,1,C,,aucun_nom
Arceo,Miguel Angel,,CA23,1,C,,aucun_nom
Archer,Steven,,RI02,2,AC,,aucun_nom
Archerd,Charles Wallace,,NC11,1,C,,aucun_nom
Archuleta,Bob,,CA31,2,CX,,aucun_nom
Ardoin,Chelsea,,LA02,1,C,,aucun_nom
Arellano,Julian,,CA49,1,C,,aucun_nom
Arenholz,Ashley Hinson,,IA01,2,C,,aucun_nom
Arenholz,Ashley Hinson,,IA02,7,OX,,aucun_nom
Arianas,Peter Steven,,FL21,3,CX,,aucun_nom
Arias,Victor M.,,FL19,3,CDX,,aucun_nom
Arias,Vincent Michael,,FL27,2,AC,,aucun_nom
Arkoosh,Valerie Ann,,PA13,1,X,,aucun_nom
Arlinghaus,William Philip,,TN01,1,D,,aucun_nom
Armendariz-Jackson,Irene,,TX16,4,CD,,aucun_nom
Armey,Scott,,,1,W,,aucun_nom
Armey,Scott,,TX26,1,C,,aucun_nom
Armitage,Casey,,MI10,1,D,,aucun_nom
Armitage,Christopher,,WA05,1,D,,aucun_nom
Armstead,Derek,,NJ10,1,C,,aucun_nom
Armstrong,Christopher Campbell,,WI07,1,C,,etat_incoherent
Armstrong,Kelly,,ND00,10,ACOTX,A000377,exact
Armstrong,Kelly,,ND01,7,AHOX,A000377,exact
Armstrong-Stoner,Derek James,,AZ08,4,CDW,,aucun_nom
Arndt,Matthew John,,WI06,2,CX,,aucun_nom
Arness,Mark,,MD05,1,C,,aucun_nom
Arness,Mark Kenneth,,MD05,3,CD,,aucun_nom
Arnold,Marie Encar A,,NV01,1,A,,aucun_nom
Arnold,Marie Encar Arana,,NV01,1,C,,aucun_nom
Arnold-Jones,Janice E.,,NM01,3,CX,,aucun_nom
Arntzen,Elsie,,MT01,1,C,,aucun_nom
Arntzen,Elsie,,MT02,1,C,,aucun_nom
Aronoff,Phillip Arnold,,TX29,2,CD,,aucun_nom
Arora,Harry,,CT04,1,C,,aucun_nom
Arquette,Adam Perez,,KY06,1,C,,aucun_nom
Arraf,Huwaida,,MI10,1,X,,aucun_nom
Arreaga,Francesco,,CA30,2,CD,,aucun_nom
Arredondo-Lynch,Alma,,TX23,2,C,,aucun_nom
Arredondo-Lynch,Alma G.,,TX23,5,C,,aucun_nom
Arrington,Jodey,,TX19,7,OX,A000375,exact
Arrington,Jodey Cook,,TX19,13,CHOX,A000375,prefixe
Arrington,Katherine Elizabeth,,SC01,2,CX,,etat_incoherent
Arrington,Katie,,SC01,1,C,,etat_incoherent
Artero,Matthew  Pascual,,GU00,2,D,,aucun_nom
Arthur,Barbara,,SC07,2,C,,aucun_nom
Arvidson,Erich,,MO04,1,D,,aucun_nom
Asamoa-Caesar,Kojo,,OK01,2,C,,aucun_nom
Asencio,Robert,,FL28,1,C,,aucun_nom
Ash,Jim,,CA53,2,C,,aucun_nom
Ashby,Joseph,,KS04,1,D,,aucun_nom
Ashby,Stephan Blake,,MO01,1,C,,aucun_nom
Ashcraft,Lauren,,NY12,5,CDX,,aucun_nom
Ashford,Ann,,NE02,1,C,A000373,last_unique
Ashford,Brad,,NE02,29,ACHOPT,A000373,exact
Ashooh,Richard E.,,NH01,1,C,,aucun_nom
Ashworth,Matthew,,OH08,1,D,,aucun_nom
Askar,Casey,,FL19,3,CX,,aucun_nom
Askins,Kishla Anne,,NE02,1,C,,aucun_nom
Assad,Mike,,NJ02,1,C,,aucun_nom
Assini,Mark W.,,NY25,4,AC,,aucun_nom
Atalla,Ehab,,CA46,1,C,,aucun_nom
Atchley,David Michael,,SC04,2,C,,aucun_nom
Atencio,Rudy,,WA03,2,D,,aucun_nom
Atencio,Rudy A.,,TX08,1,C,,aucun_nom
Atkins,Joey David,,FL26,1,X,,aucun_nom
Atkins,Kenneth Stephen,,TN08,2,CD,,aucun_nom
Atkinson,Ed Ray,,,1,W,,aucun_nom
Atkinson,Ed Ray,,TX18,1,C,,aucun_nom
Atkinson,Jacquie,,CA52,2,CX,,aucun_nom
Atkinson,James Fredrick,,PA11,1,C,,aucun_nom
Atkinson,Jason,,OR02,1,C,,aucun_nom
Atkinson,Thomas M.,,OK01,2,CX,,aucun_nom
Atwell,Daltson Theodore,,MI09,3,DWX,,aucun_nom
Atwood,John,,,1,W,,aucun_nom
Atwood,John,,TX20,2,D,,aucun_nom
Auchincloss,Jake,,MA04,26,ACGHOPX,A000148,exact
Audino,Ernest Carl,,FL06,1,C,,aucun_nom
Auman,James  Lee,,AL04,1,C,,aucun_nom
Auppenle,Mark A.,,NE02,1,C,,aucun_nom
Auringer,Jackie Mary,,NY18,1,C,,aucun_nom
Ausbrooks,Jimmy Clifton,,KY01,2,C,,aucun_nom
Ausman,Dick,,WI07,1,C,,aucun_nom
Austin,Anthony Tony,,HI02,1,C,,aucun_nom
Austin,Gerald Darryll,,NC06,1,X,,aucun_nom
Austin,Kyle Ray,,MT02,2,CD,,aucun_nom
Austinson,John Wayne,,,3,W,,aucun_nom
Autiello,Nicholas,,RI01,1,C,,aucun_nom
Auxier,Randy,,IL12,2,CX,,aucun_nom
Averhart,James,,AL01,2,AC,,aucun_nom
Avila,Victor,Jr.,TX23,1,C,,aucun_nom
Avila Chevalier,Darializa,,NY13,2,C,,aucun_nom
Avion,Orlondo,,CO05,3,C,,aucun_nom
Avlon,John,,NY01,2,CX,,aucun_nom
Awa,Brenton,,HI02,1,C,,aucun_nom
Awtrey,Patrick Eugene,,OH14,2,CD,,aucun_nom
Axne,Cindy,,IA03,30,ACHOPTX,A000378,last_unique
Ayala,Aramis,,FL10,2,CX,,aucun_nom
Aycox,Kevin Michael,,MS03,1,C,,aucun_nom
Ayers,Austin Jay,,NC03,2,CX,,aucun_nom
Ayers,Avery Lamarr,,TX38,1,C,,aucun_nom
Ayouaz,Ismaine,,PA04,1,D,,aucun_nom
Ayyas,Shadi,,,1,W,,aucun_nom
Azcona,Alan,,FL07,1,W,,aucun_nom
BAREEBE,QUINCY BAREEBE,,MD05,1,C,,aucun_nom
BINGEN-TYTLER,KARI A.,,NS00,1,A,,aucun_nom
Baake,David,,NM02,2,CX,,aucun_nom
Baan,Andy,,VA02,3,CW,,aucun_nom
Babauta,Anthony M.,,GU00,1,C,,aucun_nom
Babb,Joseph Ray,,VA11,1,C,,aucun_nom
Babb Tomlinson,Lauren,,CA06,3,CX,,aucun_nom
Babbage,Lisa Noel,,GA07,2,CD,,aucun_nom
Babeu,Paul Raymond,,AZ01,3,AC,,aucun_nom
Babin,Brian,,TX36,28,AHOPX,B001291,exact
Babinec,Martin,,NY22,1,C,,aucun_nom
Babits,Joseph,,FL08,1,C,,aucun_nom
Baca,Joe,,CA31,1,C,B001234,exact
Baca,Joe,,CA35,1,C,B001234,exact
Baca-Oehlert,Amie,,CO08,1,X,,aucun_nom
Baccam,Lanon,,IA03,3,CX,,aucun_nom
Bach,Kenneth James,,PA14,2,C,,aucun_nom
Bacher,Steve,,PA08,1,C,,aucun_nom
Bachman,Ellis,,GA11,1,W,,aucun_nom
Bachmann,Michele,,MN06,1,T,B001256,exact
Bachus,Spencer,,AL06,1,T,B000013,exact
