bioguide_id,last_name,first_name,official_full,nickname,party,chamber,state,district,declarant_name,name_variants,committee_membership,committees_key_flag
F000215,Florio,James,,,Democrat,house,NJ,1.0,James Florio,"[""James Florio""]",[],False
F000380,Frenzel,William,,,Republican,house,MN,3.0,William Frenzel,"[""William Frenzel""]",[],False
G000047,Garcia,Robert,,,Democrat,house,NY,18.0,Robert Garcia,"[""Robert Garcia""]",[],False
G000382,Grant,James,,,Republican,house,FL,2.0,James Grant,"[""James Grant""]",[],False
H000367,Hawkins,Augustus,,Gus,Democrat,house,CA,29.0,Augustus Hawkins,"[""Augustus Hawkins"", ""Gus Hawkins""]",[],False
H000456,Heinz,Henry,,,Republican,senate,PA,,Henry Heinz,"[""Henry Heinz""]",[],False
H000586,Hiler,John,,,Republican,house,IN,3.0,John Hiler,"[""John Hiler""]",[],False
K000020,Kastenmeier,Robert,,,Democrat,house,WI,2.0,Robert Kastenmeier,"[""Robert Kastenmeier""]",[],False
L000180,Leath,James,,,Democrat,house,TX,11.0,James Leath,"[""James Leath""]",[],False
L000237,Leland,George,,Mickey,Democrat,house,TX,18.0,George Leland,"[""George Leland"", ""Mickey Leland""]",[],False
L000508,Luken,Thomas,,,Democrat,house,OH,1.0,Thomas Luken,"[""Thomas Luken""]",[],False
L000509,Lukens,Donald,,,Republican,house,OH,8.0,Donald Lukens,"[""Donald Lukens""]",[],False
M000195,Martin,Lynn,,,Republican,house,IL,16.0,Lynn Martin,"[""Lynn Martin""]",[],False
M000250,Matsunaga,Spark,,,Democrat,senate,HI,,Spark Matsunaga,"[""Spark Matsunaga""]",[],False
M000678,Metzenbaum,Howard,,,Democrat,senate,OH,,Howard Metzenbaum,"[""Howard Metzenbaum""]",[],False
M000811,Mitchell,George,,,Democrat,senate,ME,,George Mitchell,"[""George Mitchell""]",[],False
M000842,Molinari,Guy,,,Republican,house,NY,14.0,Guy Molinari,"[""Guy Molinari""]",[],False
M000992,Morrison,Bruce,,,Democrat,house,CT,3.0,Bruce Morrison,"[""Bruce Morrison""]",[],False
N000106,Nielson,Howard,,,Republican,house,UT,3.0,Howard Nielson,"[""Howard Nielson""]",[],False
P000080,Parris,Stanford,,,Republican,house,VA,8.0,Stanford Parris,"[""Stanford Parris""]",[],False
P000097,Pashayan,Charles,,,Republican,house,CA,17.0,Charles Pashayan,"[""Charles Pashayan""]",[],False
P000218,Pepper,Claude,,,Democrat,house,FL,18.0,Claude Pepper,"[""Claude Pepper""]",[],False
R000249,Riegle,Donald,,,Democrat,senate,MI,,Donald Riegle,"[""Donald Riegle""]",[],False
R000354,Robinson,Tommy,,,Republican,house,AR,2.0,Tommy Robinson,"[""Tommy Robinson""]",[],False
R000482,Rowland,John,,,Republican,house,CT,5.0,John Rowland,"[""John Rowland""]",[],False
S000014,Saiki,Patricia,,,Republican,house,HI,1.0,Patricia Saiki,"[""Patricia Saiki""]",[],False
S000068,Sasser,James,,,Democrat,senate,TN,,James Sasser,"[""James Sasser""]",[],False
S000136,Schneider,Claudine,,,Republican,house,RI,2.0,Claudine Schneider,"[""Claudine Schneider""]",[],False
