bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,ticker_source,provenance
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2021-12-15,2022-01-19,TRBCX,T ROWE PRICE BLUE CHIP GROW (TRBCX),,Sale,"$15,001 - $50,000",32500.0,False,Joint Tenancy,8218535,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218535.pdf,94b781e19fb7644e41a3ca3785003f122e345f92d663e57e8c4e7811210d57b1,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2021-12-16,2022-01-19,YACKX,AMG YACKTMAN FUND CLASS I (YACKX),Mutual Fund,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218535,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218535.pdf,ddf758afd43657319b5d30d3ee54b05e4fdfffd129f8ef964abcb48554d3f567,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2021-12-16,2022-01-19,VWIGX,VANGUARD INTERNATIONAL GRO (VWIGX),Mutual Fund,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218535,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218535.pdf,800dda40b03f7868e1b05c260e6b68ff3e17f5d58d941f6705e994f8ebce47e9,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2021-12-17,2022-01-19,LCGFX,WILLIAM BLAIR LARGE CAP GRO (LCGFX),,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218535,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218535.pdf,74aca0897ef46c6172295ff7b33808ea71c557a2e2cc77e1cb2ec22522a10571,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2021-12-17,2022-01-19,NFFFX,NEW WORLD FUND CLASS F-2 (NFFFX),Mutual Fund,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218535,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218535.pdf,cc41828298211d7d1978e9ed89f76bf8945b68bfa545d300f73054d0ce616c89,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2021-12-17,2022-01-19,PRGTX,T ROWE PRICE GLOBAL TECHNO (PRGTX),,Purchase,"$15,001 - $50,000",32500.0,False,Joint Tenancy,8218535,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218535.pdf,04050b4f5acd68d278c0428fe2eb26b9728f7617e5d2726d33e91f01b4b67509,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2021-12-14,2022-01-19,RPBAX,T ROWE PRICE BALANCED (RPBAX),,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218535,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218535.pdf,3a029b21982c89a0499f52fa40fbd512d13fbf7073c30bf5165376852f4b67bf,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2021-12-17,2022-01-19,OAKGX,THE OAKMARK GLOBAL FUND IN (OAKGX),Mutual Fund,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218535,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218535.pdf,ad90d09ac87f120140830c9db8f494c4f0d50b38c39251666063f23d12767584,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2021-12-22,2022-01-19,DODWX,DODGE & COX GLOBAL STOCK F (DODWX),,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218535,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218535.pdf,4106deef5c007cd235e56a2b9c63f5281d74184e24a7d7ca9584f247d691adf1,explicit,house-pdf-ocr
G000581,Vicente Gonzalez,house,Democrat,TX15,HSBA10; HSBA16; House Committee on Financial Services,True,2021-07-14,2022-06-27,FCX,Freeport McMoRan Common Stock,Stock,Sale,"$15,001 - $50,000",32500.0,False,SELF,8219043,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8219043.pdf,0e9f9052f6605135215be03a1b28e1b68359d766f77c5b65c8d34ef9d290c3fc,elec_dict,house-pdf-ocr
