bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,occurrence_index
L000581,Brenda Lulenar Lawrence,house,Democrat,MI14,,False,2016-11-17,2016-12-16,FB,"Facebook, Inc. - Class a",,Purchase,"$1,001 - $15,000",8000.5,False,SP,20006381,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006381.pdf,c38f73c5bf0ae938a7f51cc109871d9b61dd285b7b1db58aea6da74c50f36f30,0
G000563,Bob Gibbs,house,Republican,OH07,,False,2016-12-06,2016-12-16,ALLE,Allegion plc ordinary Shares,,Sale,"$1,001 - $15,000",8000.5,False,SELF,20006378,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006378.pdf,cf6f3d0a4a87b0bbbc91822cf089b16425ea31efa526dca76716c09b20f451b1,0
G000563,Bob Gibbs,house,Republican,OH07,,False,2016-12-12,2016-12-16,FGP,"Ferrellgas Partners, L.P.",,Sale,"$1,001 - $15,000",8000.5,False,SELF,20006378,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006378.pdf,90dd54b7e37a629c07aad34f49280dbe9b7e1cf0c0d743025ed611d4c2b5d37e,0
D000624,Debbie Dingell,house,Democrat,MI12,HSIF14; HSIF16; HSIF17; HSII06; HSII13; House Committee on Energy and Commerce; House Committee on Natural Resources,False,2016-12-05,2016-12-15,NVS,Novartis ag,,Purchase,"$1,001 - $15,000",8000.5,False,JT,20006275,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006275.pdf,fe8edc572772631f0a26cb53070f2170a4ef9a46d349491b2b758f3862ed7573,0
D000624,Debbie Dingell,house,Democrat,MI12,HSIF14; HSIF16; HSIF17; HSII06; HSII13; House Committee on Energy and Commerce; House Committee on Natural Resources,False,2016-12-06,2016-12-15,UL,Unilever PLC,,Purchase,"$1,001 - $15,000",8000.5,False,SELF,20006275,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006275.pdf,9ada546219cdac025c0959de3d51402caf1cf4fe1e1c782f11f7d9d084fb8d7a,0
D000624,Debbie Dingell,house,Democrat,MI12,HSIF14; HSIF16; HSIF17; HSII06; HSII13; House Committee on Energy and Commerce; House Committee on Natural Resources,False,2016-12-05,2016-12-15,,UnitedHealth group Incorporated,,Purchase,"$15,001 - $50,000",32500.5,False,SELF,20006275,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006275.pdf,a4d63f42fe285b559fd4a24ea7058ace132373ae4e6e15511a36ef370801b9d1,0
D000624,Debbie Dingell,house,Democrat,MI12,HSIF14; HSIF16; HSIF17; HSII06; HSII13; House Committee on Energy and Commerce; House Committee on Natural Resources,False,2016-12-05,2016-12-15,,alphabet Inc. - Class C Capital Stock,,Purchase,"$1,001 - $15,000",8000.5,False,SP,20006275,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006275.pdf,c17ed875c30483dbd34edbbf159faac92b2037c63433434b7e7b6b7fa1b76797,0
M001182,Mick Mulvaney,house,Republican,SC05,,False,2016-12-08,2016-12-14,,Mulvaney Properties/old Hickory,,Sale,"$50,001 - $100,000",75000.5,False,SELF,20006366,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006366.pdf,fc6671b07d0ba25046aa24018d0bb5ed378fb5824e6b881dc26c59058ceebd9c,0
S000583,Lamar Smith,house,Republican,TX21,,False,2016-11-03,2016-12-12,ICE,Intercontinental Exchange Inc.,,Purchase,"$1,001 - $15,000",8000.5,False,SELF,20006317,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006317.pdf,c3317520261ceb71e09ad66cbdc3aefe59a44d5e0f4167b07d2c5cbaed183b91,0
S000583,Lamar Smith,house,Republican,TX21,,False,2016-11-30,2016-12-12,SBH,"Sally beauty Holdings, Inc.",,Sale,"$1,001 - $15,000",8000.5,False,SELF,20006317,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006317.pdf,b502b1bc746869d18ebea6d9a0f0ba5868effee7191b3c04cb82a7f615640122,0
