bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,date_confidence,ticker,asset_description,asset_type,sector_gics,etf_proxy,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,provenance,ticker_source,sector_source,occurrence_index,years_in_office
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-09-29,2015-10-07,plausible,CVC,Cablevision Systems Corp (CVC),Stock,Communication Services,XLC,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,0f819f2c-7313-4c60-b906-20d04a50f5ed,https://efdsearch.senate.gov/search/view/ptr/0f819f2c-7313-4c60-b906-20d04a50f5ed/,19f4620a4e9d358b91c92f370882b4531a65e3473966fa2bd3aa6d562b19b3b8,senate-efd-electronic,elec_dict,llm,0,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-09-29,2015-10-07,plausible,CIT,CIT Group Inc (CIT),Stock,Financials,XLF,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,0f819f2c-7313-4c60-b906-20d04a50f5ed,https://efdsearch.senate.gov/search/view/ptr/0f819f2c-7313-4c60-b906-20d04a50f5ed/,335d4c21d408f7ca22c7d5cc812ad57f4bbe4bfca94b082a466a6e8f1891969e,senate-efd-electronic,elec_dict,llm,0,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-09-29,2015-10-07,plausible,PAA,Plains All American Pipeline (PAA),Stock,Energy,XLE,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,0f819f2c-7313-4c60-b906-20d04a50f5ed,https://efdsearch.senate.gov/search/view/ptr/0f819f2c-7313-4c60-b906-20d04a50f5ed/,bcc51ab5ada43726b8102505191a9898fee3c281435aef3d9564d5c4a8e16bae,senate-efd-electronic,llm,yfinance,0,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-09-29,2015-10-07,plausible,ET,Energy Transfer Equity (ETE),Stock,Energy,XLE,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,0f819f2c-7313-4c60-b906-20d04a50f5ed,https://efdsearch.senate.gov/search/view/ptr/0f819f2c-7313-4c60-b906-20d04a50f5ed/,fb8a0bce036972e3e472799263915e85906c8c0facb4489b89ca5d435a2094c1,senate-efd-electronic,llm,yfinance,0,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-09-29,2015-10-07,plausible,SXL,Sunoco Logistics Partners (SXL),Stock,Energy,XLE,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,0f819f2c-7313-4c60-b906-20d04a50f5ed,https://efdsearch.senate.gov/search/view/ptr/0f819f2c-7313-4c60-b906-20d04a50f5ed/,a94000b3001e3063b905d7a74e1737237aad30d7f175cd15b8554842810dca9f,senate-efd-electronic,llm,llm,0,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-09-29,2015-10-07,plausible,PAA,Plains All American Pipeline (PAA),Stock,Energy,XLE,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,0f819f2c-7313-4c60-b906-20d04a50f5ed,https://efdsearch.senate.gov/search/view/ptr/0f819f2c-7313-4c60-b906-20d04a50f5ed/,bcc51ab5ada43726b8102505191a9898fee3c281435aef3d9564d5c4a8e16bae,senate-efd-electronic,llm,yfinance,1,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-09-30,2015-10-07,plausible,DE,Deere & Company (DE),Stock,Industrials,XLI,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,0f819f2c-7313-4c60-b906-20d04a50f5ed,https://efdsearch.senate.gov/search/view/ptr/0f819f2c-7313-4c60-b906-20d04a50f5ed/,2c4a55a8f805e8fa33265926e746809f03bdc378c8a4e7f4c72394dff7f9ca44,senate-efd-electronic,elec_dict,yfinance,0,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-09-30,2015-10-07,plausible,WMB,The Williams Companies (WMB),Stock,Energy,XLE,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,0f819f2c-7313-4c60-b906-20d04a50f5ed,https://efdsearch.senate.gov/search/view/ptr/0f819f2c-7313-4c60-b906-20d04a50f5ed/,d90922f45e1653f4cf587fb00e028da12a3de7dc71aab8c233ecbaab704d4ac4,senate-efd-electronic,elec_dict,yfinance,0,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-09-30,2015-10-07,plausible,ET,Energy Transfer Equity (ETE),Stock,Energy,XLE,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,0f819f2c-7313-4c60-b906-20d04a50f5ed,https://efdsearch.senate.gov/search/view/ptr/0f819f2c-7313-4c60-b906-20d04a50f5ed/,02ae49fca0adcff378a5ec45ad0d1701c36dcaa9cdf372075ad6518127fc6bd8,senate-efd-electronic,llm,yfinance,0,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-10-01,2015-10-07,plausible,CVC,Cablevision Systems Corp (CVC),Stock,Communication Services,XLC,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,0f819f2c-7313-4c60-b906-20d04a50f5ed,https://efdsearch.senate.gov/search/view/ptr/0f819f2c-7313-4c60-b906-20d04a50f5ed/,20b1fb2d236e722d96add00a30cc7daa9a4e6ad056e57ea30c37bdc3a5802d5e,senate-efd-electronic,elec_dict,llm,0,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-10-01,2015-10-07,plausible,SYY,Sysco Corp (SYY),Stock,Consumer Staples,XLP,Sale (Partial),"$15,001 - $50,000",32500.5,False,Joint,0f819f2c-7313-4c60-b906-20d04a50f5ed,https://efdsearch.senate.gov/search/view/ptr/0f819f2c-7313-4c60-b906-20d04a50f5ed/,ab1676b7035917aafe8c45d121acf1ee3988c499887c8d2a3c09c38457a2c973,senate-efd-electronic,elec_dict,yfinance,0,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-10-05,2015-10-07,plausible,CIT,CIT Group Inc (CIT),Stock,Financials,XLF,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,0f819f2c-7313-4c60-b906-20d04a50f5ed,https://efdsearch.senate.gov/search/view/ptr/0f819f2c-7313-4c60-b906-20d04a50f5ed/,19137ce675b105f37cce5cf3f2edffe34adbb37f50653276bdcee75fd53d1285,senate-efd-electronic,elec_dict,llm,0,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-10-05,2015-10-07,plausible,AAN,Aaron Rents Inc (AAN),Stock,Consumer Discretionary,XLY,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,0f819f2c-7313-4c60-b906-20d04a50f5ed,https://efdsearch.senate.gov/search/view/ptr/0f819f2c-7313-4c60-b906-20d04a50f5ed/,b3f572ecc5dd30f428a8dc8abdd3aff201f66988f1bcaae2f1e4e430fd136586,senate-efd-electronic,llm,llm,0,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-10-06,2015-10-28,plausible,EPD,Enterprise Products Part CMN,Stock,Energy,XLE,Purchase,"$1,001 - $15,000",8000.5,False,Joint,80e5d19d-467b-4f10-9d05-f89771680896,https://efdsearch.senate.gov/search/view/ptr/80e5d19d-467b-4f10-9d05-f89771680896/,66f27f69378a4d6e9d2c793f841703b5a613cc81412e3a213c4c0174290c852d,senate-efd-electronic,llm,yfinance,0,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-10-06,2015-10-28,plausible,TLLP,Tesoro Logistics LP CMN,Stock,Energy,XLE,Purchase,"$1,001 - $15,000",8000.5,False,Joint,80e5d19d-467b-4f10-9d05-f89771680896,https://efdsearch.senate.gov/search/view/ptr/80e5d19d-467b-4f10-9d05-f89771680896/,332fe117d401fa37a6eec8d16452a8ec9879e1168e5b781f86c45f012987e9c3,senate-efd-electronic,elec_dict,llm,0,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-10-06,2015-10-28,plausible,CIT,CIT Group Inc CMN,Stock,Financials,XLF,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,80e5d19d-467b-4f10-9d05-f89771680896,https://efdsearch.senate.gov/search/view/ptr/80e5d19d-467b-4f10-9d05-f89771680896/,83ff616b6decd47d5ba63b782e73c30b3773c3c4693725619e4b66a51280ab5a,senate-efd-electronic,elec_dict,llm,0,0
