year,doc_id,local_path,n_pages,text_chars_first_pages,contains_periodic_transaction_report,contains_filer_information,contains_transactions,contains_amount,text_extractable_flag,quality_status,error_message
2025,20026591,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20026591.pdf,2,1995,True,False,True,True,True,ok_text,
2025,20026802,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20026802.pdf,2,1313,True,False,True,True,True,ok_text,
2025,20027931,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20027931.pdf,2,1664,True,False,True,True,True,ok_text,
2025,20030155,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030155.pdf,2,1322,True,False,True,True,True,ok_text,
2025,20030275,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030275.pdf,2,2599,True,False,True,True,True,ok_text,
2025,20030491,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030491.pdf,2,1618,True,False,True,True,True,ok_text,
2025,20030671,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030671.pdf,2,1509,True,False,True,True,True,ok_text,
2025,20030946,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030946.pdf,2,2063,True,False,True,True,True,ok_text,
2025,20032089,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20032089.pdf,2,1705,True,False,True,True,True,ok_text,
2025,20032269,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20032269.pdf,2,2205,True,False,True,True,True,ok_text,
2025,20033474,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033474.pdf,1,1178,True,False,True,True,True,ok_text,
2025,20033659,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033659.pdf,2,1395,True,False,True,True,True,ok_text,
2025,20026556,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20026556.pdf,2,1239,True,False,True,True,True,ok_text,
2025,20027837,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20027837.pdf,3,2344,True,False,False,True,True,ok_text,
2025,20028007,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20028007.pdf,2,1527,True,False,True,True,True,ok_text,
2025,20030174,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030174.pdf,1,1192,True,False,True,True,True,ok_text,
2025,20031014,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20031014.pdf,1,1032,True,False,True,True,True,ok_text,
2025,20033628,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033628.pdf,1,1030,True,False,True,True,True,ok_text,
2025,20026550,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20026550.pdf,1,1187,True,False,True,True,True,ok_text,
2025,20026792,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20026792.pdf,2,1367,True,False,True,True,True,ok_text,
2025,20030639,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030639.pdf,2,1533,True,False,True,True,True,ok_text,
2025,20030892,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030892.pdf,2,1337,True,False,True,True,True,ok_text,
2025,20032254,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20032254.pdf,1,1046,True,False,True,True,True,ok_text,
2025,20033447,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033447.pdf,2,1363,True,False,True,True,True,ok_text,
2025,20033615,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033615.pdf,1,1056,True,False,True,True,True,ok_text,
2025,20030542,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030542.pdf,1,995,True,False,True,True,True,ok_text,
2025,8220750,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/8220750.pdf,34,1,False,False,False,False,False,no_text,
2025,8220783,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/8220783.pdf,28,1,False,False,False,False,False,no_text,
2025,8220827,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/8220827.pdf,28,1,False,False,False,False,False,no_text,
2025,8220906,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/8220906.pdf,51,1,False,False,False,False,False,no_text,
2025,8221124,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/8221124.pdf,26,1,False,False,False,False,False,no_text,
2025,8221176,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/8221176.pdf,20,1,False,False,False,False,False,no_text,
2025,9115671,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/9115671.pdf,21,1,False,False,False,False,False,no_text,
2025,9115676,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/9115676.pdf,15,1,False,False,False,False,False,no_text,
2025,9115679,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/9115679.pdf,20,1,False,False,False,False,False,no_text,
2025,8221231,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/8221231.pdf,23,1,False,False,False,False,False,no_text,
2025,8221264,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/8221264.pdf,24,1,False,False,False,False,False,no_text,
2025,8221285,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/8221285.pdf,21,1,False,False,False,False,False,no_text,
2025,20027846,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20027846.pdf,2,1354,True,False,True,True,True,ok_text,
2025,20026551,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20026551.pdf,1,1192,True,False,True,True,True,ok_text,
2025,20027885,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20027885.pdf,2,2618,True,False,True,True,True,ok_text,
2025,20029084,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20029084.pdf,6,2770,False,False,False,True,True,ok_text,
2025,20030207,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030207.pdf,2,1523,True,False,True,True,True,ok_text,
2025,20026587,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20026587.pdf,2,1976,True,False,True,True,True,ok_text,
2025,20030158,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030158.pdf,1,1103,True,False,True,True,True,ok_text,
2025,20032298,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20032298.pdf,2,2100,True,False,True,True,True,ok_text,
2025,20026650,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20026650.pdf,1,998,True,False,True,True,True,ok_text,
2025,20030234,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030234.pdf,1,998,True,False,True,True,True,ok_text,
2025,20030480,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030480.pdf,1,958,True,False,True,True,True,ok_text,
2025,20030730,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030730.pdf,1,998,True,False,True,True,True,ok_text,
2025,20033346,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033346.pdf,1,998,True,False,True,True,True,ok_text,
2025,20026513,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20026513.pdf,1,1053,True,False,True,True,True,ok_text,
2025,20030458,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030458.pdf,1,1030,True,False,True,True,True,ok_text,
2025,20030810,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030810.pdf,1,920,True,False,True,True,True,ok_text,
2025,20030875,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030875.pdf,1,1130,True,False,True,True,True,ok_text,
2025,20027805,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20027805.pdf,2,1540,True,False,True,True,True,ok_text,
2025,20029082,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20029082.pdf,2,2869,True,False,True,True,True,ok_text,
2025,20030558,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030558.pdf,1,1211,True,False,True,True,True,ok_text,
2025,20030822,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030822.pdf,1,1094,True,False,True,True,True,ok_text,
2025,8221276,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/8221276.pdf,1,0,False,False,False,False,False,no_text,
2025,8221287,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/8221287.pdf,1,0,False,False,False,False,False,no_text,
2025,20026638,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20026638.pdf,2,3707,True,False,True,True,True,ok_text,
2025,20029046,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20029046.pdf,1,1399,True,False,True,True,True,ok_text,
2025,8220754,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/8220754.pdf,4,1,False,False,False,False,False,no_text,
2025,8220834,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/8220834.pdf,3,1,False,False,False,False,False,no_text,
2025,8220904,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/8220904.pdf,5,1,False,False,False,False,False,no_text,
2025,8221120,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/8221120.pdf,2,1,False,False,False,False,False,no_text,
2025,8221173,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/8221173.pdf,8,1,False,False,False,False,False,no_text,
2025,9115664,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/9115664.pdf,4,1,False,False,False,False,False,no_text,
2025,9115677,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/9115677.pdf,8,1,False,False,False,False,False,no_text,
2025,9115662,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/9115662.pdf,4,1,False,False,False,False,False,no_text,
