bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,occurrence_index
N000192,Marie Newman,house,Democrat,IL03,,False,2021-01-29,2021-04-21,CHWY,"2000078155 SP Chewy, Inc. Class A   $15,000",Stock,Sale,"$1,001",1001.0,False,SELF,20018616,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018616.pdf,b3ad300fac1df326909b74f29caa4dae59ef03f3a83b02401abd4e0810e32562,0
N000192,Marie Newman,house,Democrat,IL03,,False,2021-01-29,2021-04-21,MRNA,"2000078156 SP Moderna, Inc.",Stock,Sale,"$15,001",15001.0,False,SELF,20018616,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018616.pdf,86d027ec041677aa36af357257559580d22d0ae4160e1f3202c3b24467d6c914,0
N000192,Marie Newman,house,Democrat,IL03,,False,2021-01-29,2021-04-21,MRNA,"2000078157 SP Moderna, Inc.",Stock,Sale,"$1,001",1001.0,False,SELF,20018616,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018616.pdf,8fd0f0f636f14f636ba6c80066016735ca05e31e3aef0efad31a0df42f65d22a,0
N000192,Marie Newman,house,Democrat,IL03,,False,2021-01-22,2021-04-21,BABA,2000078140 SP Alibaba group Holding limited Ordinary share,Stock,Sale,"$15,001",15001.0,False,SELF,20018616,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018616.pdf,267162874e79bde87f933a4df0f41f86fc900cf29ac53d70bca8fb596e40d4d6,0
G000583,Josh Gottheimer,house,Democrat,NJ05,HLIG02; HLIG04; HSBA10; HSBA16; HSBA21; House Committee on Financial Services; House Permanent Select Committee on Intelligence,True,2021-03-05,2021-04-21,ADDYY,adidas AG Sponsored AdR,Stock,Sale,"$1,001 - $15,000",8000.5,False,JT,20018534,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,af9016747633dc7312654ed59383ab4a584c9b9e75aeddb9dca9468176bc8361,0
G000583,Josh Gottheimer,house,Democrat,NJ05,HLIG02; HLIG04; HSBA10; HSBA16; HSBA21; House Committee on Financial Services; House Permanent Select Committee on Intelligence,True,2021-03-16,2021-04-21,ABNB,"Airbnb, Inc. - Class A",Stock,Sale,"$1,001 - $15,000",8000.5,False,JT,20018534,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,8930bdf8807787d7707208ef11ab33ca999553ad21bc9c2414818bd324858d7f,0
G000583,Josh Gottheimer,house,Democrat,NJ05,HLIG02; HLIG04; HSBA10; HSBA16; HSBA21; House Committee on Financial Services; House Permanent Select Committee on Intelligence,True,2021-03-15,2021-04-21,ALGN,"Align Technology, Inc.",Stock,Purchase,"$1,001 - $15,000",8000.5,False,JT,20018534,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,cf6c3dc65d1056675546b76dbcf1c415da76efb6adde38d734dce5474ced4bab,0
G000583,Josh Gottheimer,house,Democrat,NJ05,HLIG02; HLIG04; HSBA10; HSBA16; HSBA21; House Committee on Financial Services; House Permanent Select Committee on Intelligence,True,2021-03-08,2021-04-21,ALGT,Allegiant Travel Company,Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,JT,20018534,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,acacef9d3975914546020c1105bd63e248ca0bc9ecda67aa02665f74525af7e7,0
G000583,Josh Gottheimer,house,Democrat,NJ05,HLIG02; HLIG04; HSBA10; HSBA16; HSBA21; House Committee on Financial Services; House Permanent Select Committee on Intelligence,True,2021-03-16,2021-04-21,GOOG,Alphabet Inc. - Class C Capital Stock,Stock,Purchase,"$1,001 - $15,000",8000.5,False,JT,20018534,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,23417089ca95040fa01e4a67adbead0c95b5221821c993983f8954ee4e89429a,0
N000192,Marie Newman,house,Democrat,IL03,,False,2021-01-29,2021-04-21,TWTR,"2000078158 SP Twitter, Inc.",Stock,Sale,"$1,001",1001.0,False,SELF,20018616,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018616.pdf,657c4bfc358fab5dba2c36db294f2e63bea200d32697213ea1dcfdd72fa7dbe5,0
