last,first,filing_type,state_dist,filing_date,doc_id,year
Jacobs,Christopher L.,P,NY27,6/1/2021,20018738,2021
Jacobs,Christopher L.,P,NY27,7/8/2021,20018954,2021
Jacobs,Christopher L.,P,NY27,8/13/2021,20019144,2021
Jacobs,Christopher L.,P,NY27,9/3/2021,20019355,2021
Jacobs,Christopher L.,P,NY27,9/14/2021,20019461,2021
Jacobs,Christopher L.,P,NY27,10/25/2021,20019675,2021
Jacobs,Christopher L.,P,NY27,12/2/2021,20019805,2021
Jacobs,Sara,P,CA53,3/12/2021,20018354,2021
Jacobs,Sara,P,CA53,5/28/2021,20018720,2021
Jacobs,Sara,P,CA53,7/2/2021,20018865,2021
Jacobs,Sara,P,CA53,8/17/2021,20019344,2021
Jeffries,Hakeem S.,P,NY08,4/10/2021,20018554,2021
Jeffries,Hakeem S.,P,NY08,4/10/2021,20018555,2021
Jeffries,Hakeem S.,P,NY08,4/16/2021,20018596,2021
Jeffries,Hakeem S.,P,NY08,4/25/2021,20018630,2021
Jeffries,Hakeem S.,P,NY08,5/30/2021,20018793,2021
Joyce,David P.,P,OH14,7/27/2021,20018692,2021
Joyce,David P.,P,OH14,9/30/2021,20019546,2021
Keating,William R.,P,MA09,4/27/2021,20018465,2021
Keating,William R.,P,MA09,6/15/2021,20018875,2021
Keating,William R.,P,MA09,7/20/2021,20019116,2021
Kelly,Mike,P,PA16,1/25/2021,8217820,2021
Kelly,Mike,P,PA16,2/23/2021,8217868,2021
Kelly,Mike,P,PA16,4/15/2021,8217939,2021
Kelly,Mike,P,PA16,9/24/2021,8218359,2021
Kelly,Mike,P,PA16,12/13/2021,8218500,2021
Kelly,Mike,P,PA16,12/20/2021,8218506,2021
Kelly,Mike,P,PA16,1/21/2022,8218541,2021
Khanna,Rohit,P,CA17,2/16/2021,8217856,2021
Khanna,Rohit,P,CA17,3/12/2021,8217894,2021
Khanna,Rohit,P,CA17,4/16/2021,8217938,2021
Khanna,Rohit,P,CA17,5/14/2021,8218031,2021
Khanna,Rohit,P,CA17,6/10/2021,8218109,2021
Khanna,Rohit,P,CA17,7/13/2021,8218147,2021
Khanna,Rohit,P,CA17,8/13/2021,8218261,2021
Khanna,Rohit,P,CA17,9/15/2021,8218338,2021
Khanna,Rohit,P,CA17,10/14/2021,8218398,2021
Khanna,Rohit,P,CA17,11/9/2021,8218426,2021
Khanna,Rohit,P,CA17,12/7/2021,8218490,2021
Kustoff,David,P,TN08,2/26/2021,8217876,2021
Kustoff,David,P,TN08,6/22/2021,8218126,2021
Kustoff,David,P,TN08,8/20/2021,8218311,2021
Kustoff,David,P,TN08,10/26/2021,8218411,2021
Kustoff,David,P,TN08,11/30/2021,8218477,2021
Lamborn,Doug,P,CO05,2/8/2021,8217846,2021
Lamborn,Doug,P,CO05,3/19/2021,8217906,2021
Lamborn,Doug,P,CO05,5/13/2021,8218028,2021
Lamborn,Doug,P,CO05,6/28/2021,8218132,2021
Lamborn,Doug,P,CO05,7/27/2021,8218183,2021
Lamborn,Doug,P,CO05,9/28/2021,8218370,2021
Lamborn,Doug,P,CO05,10/27/2021,8218413,2021
Lamborn,Doug,P,CO05,11/18/2021,8218442,2021
Langevin,James R.,P,RI02,1/8/2021,20017921,2021
Langevin,James R.,P,RI02,2/17/2021,20018127,2021
Langevin,James R.,P,RI02,3/10/2021,20018308,2021
Langevin,James R.,P,RI02,4/9/2021,20018522,2021
Langevin,James R.,P,RI02,5/13/2021,20018638,2021
Langevin,James R.,P,RI02,6/10/2021,20018852,2021
Langevin,James R.,P,RI02,7/7/2021,20019035,2021
Langevin,James R.,P,RI02,8/14/2021,20019333,2021
Langevin,James R.,P,RI02,9/13/2021,20019445,2021
Langevin,James R.,P,RI02,10/15/2021,20019600,2021
Langevin,James R.,P,RI02,11/15/2021,20019734,2021
Langevin,James R.,P,RI02,12/13/2021,20019949,2021
Lee,Susie,P,NV03,1/11/2021,20017980,2021
Lee,Susie,P,NV03,2/10/2021,20018168,2021
Lee,Susie,P,NV03,3/11/2021,20018329,2021
Lee,Susie,P,NV03,5/5/2021,20018528,2021
Lee,Susie,P,NV03,5/10/2021,20018701,2021
Lee,Susie,P,NV03,6/14/2021,20018866,2021
Lee,Susie,P,NV03,7/13/2021,20019023,2021
Lee,Susie,P,NV03,8/13/2021,20019238,2021
Lee,Susie,P,NV03,9/10/2021,20019426,2021
Lee,Susie,P,NV03,9/23/2021,20019513,2021
